rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
1,265,thetao W40p0 EOF6 lag0,-0.09778267417408068,0.09778267417408068,1,265
2,262,thetao W40p0 EOF3 lag0,0.08183381889073979,0.08183381889073979,1,262
3,521,thetao W30p0 EOF2 lag0,-0.07518734867714551,0.07518734867714551,1,521
4,1828,so W30p0 EOF9 lag0,0.07290519945249217,0.07290519945249217,1,1828
5,7,thetao W60p0 EOF8 lag0,-0.07128987826449476,0.07128987826449476,1,7
6,1560,so W40p0 EOF1 lag0,0.06935165789450633,0.06935165789450633,1,1560
7,275,thetao W40p0 EOF6 lag1,0.06510202571842237,0.06510202571842237,1,275
8,6,thetao W60p0 EOF7 lag0,-0.06385565099811817,0.06385565099811817,1,6
9,1563,so W40p0 EOF4 lag0,0.0630548354986724,0.0630548354986724,1,1563
10,529,thetao W30p0 EOF10 lag0,-0.05954994154548017,0.05954994154548017,1,529
11,2088,so W20p0 EOF9 lag0,0.059029263867929165,0.059029263867929165,1,2088
12,1309,so W60p0 EOF10 lag0,0.05754615326385175,0.05754615326385175,1,1309
13,788,thetao W20p0 EOF9 lag0,-0.05670430464715361,0.05670430464715361,1,788
14,1307,so W60p0 EOF8 lag0,0.05454597018999612,0.05454597018999612,1,1307
15,1318,so W60p0 EOF9 lag1,0.05120370236832345,0.05120370236832345,1,1318
16,525,thetao W30p0 EOF6 lag0,0.05110886617350523,0.05110886617350523,1,525
17,1302,so W60p0 EOF3 lag0,0.05037929906247311,0.05037929906247311,1,1302
18,527,thetao W30p0 EOF8 lag0,-0.05012121953421615,0.05012121953421615,1,527
19,520,thetao W30p0 EOF1 lag0,0.04873783142226048,0.04873783142226048,1,520
20,528,thetao W30p0 EOF9 lag0,-0.047699638337169566,0.047699638337169566,1,528
21,1821,so W30p0 EOF2 lag0,0.0470272153818539,0.0470272153818539,1,1821
22,1045,thetao W10p0 EOF6 lag0,0.04638972716449968,0.04638972716449968,1,1045
23,266,thetao W40p0 EOF7 lag0,-0.04617848252640157,0.04617848252640157,1,266
24,785,thetao W20p0 EOF6 lag0,-0.04522551996003217,0.04522551996003217,1,785
25,1043,thetao W10p0 EOF4 lag0,0.04460901414531213,0.04460901414531213,1,1043
26,1327,so W60p0 EOF8 lag2,0.04119794974633898,0.04119794974633898,1,1327
27,1050,thetao W10p0 EOF1 lag1,-0.040572022941461255,0.040572022941461255,1,1050
28,14,thetao W60p0 EOF5 lag1,0.040182279229360414,0.040182279229360414,1,14
29,1562,so W40p0 EOF3 lag0,-0.03941105988885625,0.03941105988885625,1,1562
30,1569,so W40p0 EOF10 lag0,-0.03846207461071167,0.03846207461071167,1,1569
31,1,thetao W60p0 EOF2 lag0,-0.03799417858015064,0.03799417858015064,26,1
32,1820,so W30p0 EOF1 lag0,0.036869812061234304,0.036869812061234304,1,1820
33,19,thetao W60p0 EOF10 lag1,0.036463653875638796,0.036463653875638796,1,19
34,260,thetao W40p0 EOF1 lag0,0.036400628512411194,0.036400628512411194,1,260
35,12,thetao W60p0 EOF3 lag1,-0.035915998435439085,0.035915998435439085,1,12
36,1047,thetao W10p0 EOF8 lag0,-0.03547517816765413,0.03547517816765413,1,1047
37,1589,so W40p0 EOF10 lag2,-0.03543465101054972,0.03543465101054972,1,1589
38,1315,so W60p0 EOF6 lag1,0.03463204496153013,0.03463204496153013,1,1315
39,1565,so W40p0 EOF6 lag0,-0.03417034808003735,0.03417034808003735,1,1565
40,1300,so W60p0 EOF1 lag0,0.03358419589045376,0.03358419589045376,1,1300
41,17,thetao W60p0 EOF8 lag1,0.0330716936415225,0.0330716936415225,1,17
42,787,thetao W20p0 EOF8 lag0,-0.03265017873503723,0.03265017873503723,1,787
43,818,thetao W20p0 EOF9 lag3,-0.032427381506138456,0.032427381506138456,1,818
44,0,thetao W60p0 EOF1 lag0,0.029960507704282192,0.029960507704282192,1,0
45,1822,so W30p0 EOF3 lag0,0.02990224402502747,0.02990224402502747,1,1822
46,1826,so W30p0 EOF7 lag0,0.029901230696210004,0.029901230696210004,1,1826
47,1837,so W30p0 EOF8 lag1,-0.02950506024903212,0.02950506024903212,1,1837
48,1040,thetao W10p0 EOF1 lag0,-0.029193466755478525,0.029193466755478525,1,1040
49,2085,so W20p0 EOF6 lag0,0.028533652215200402,0.028533652215200402,1,2085
50,264,thetao W40p0 EOF5 lag0,-0.028195992837190716,0.028195992837190716,1,264
51,276,thetao W40p0 EOF7 lag1,0.02815200051345275,0.02815200051345275,1,276
52,1855,so W30p0 EOF6 lag3,-0.027888985852202806,0.027888985852202806,1,1855
53,274,thetao W40p0 EOF5 lag1,-0.027882161010716226,0.027882161010716226,1,274
54,2113,so W20p0 EOF4 lag3,0.027691559784753822,0.027691559784753822,1,2113
55,2129,so W20p0 EOF10 lag4,-0.02756179557054436,0.02756179557054436,1,2129
56,1060,thetao W10p0 EOF1 lag2,-0.02751926088775057,0.02751926088775057,1,1060
57,2115,so W20p0 EOF6 lag3,-0.027076604464286672,0.027076604464286672,1,2115
58,541,thetao W30p0 EOF2 lag2,0.026907345908243962,0.026907345908243962,1,541
59,1317,so W60p0 EOF8 lag1,0.02676630612966247,0.02676630612966247,1,1317
60,1044,thetao W10p0 EOF5 lag0,-0.026591968348080985,0.026591968348080985,1,1044
61,1308,so W60p0 EOF9 lag0,-0.02650529140569413,0.02650529140569413,1,1308
62,551,thetao W30p0 EOF2 lag3,0.026155605178559752,0.026155605178559752,1,551
63,27,thetao W60p0 EOF8 lag2,0.02595335762174152,0.02595335762174152,1,27
64,2353,so W10p0 EOF4 lag1,-0.025705638708156984,0.025705638708156984,1,2353
65,1968,so W30p0 EOF9 lag14,0.025453819222353777,0.025453819222353777,1,1968
66,1856,so W30p0 EOF7 lag3,-0.025281359554235945,0.025281359554235945,1,1856
67,2084,so W20p0 EOF5 lag0,-0.02524538462492846,0.02524538462492846,1,2084
68,781,thetao W20p0 EOF2 lag0,-0.0252083638106767,0.0252083638106767,1,781
69,543,thetao W30p0 EOF4 lag2,0.024973544293370394,0.024973544293370394,1,543
70,808,thetao W20p0 EOF9 lag2,-0.024957794401357217,0.024957794401357217,1,808
71,57,thetao W60p0 EOF8 lag5,0.02482073027657877,0.02482073027657877,1,57
72,1553,so W60p0 EOF4 lag25,-0.024550951942786326,0.024550951942786326,1,1553
73,523,thetao W30p0 EOF4 lag0,0.024520542604429107,0.024520542604429107,1,523
74,800,thetao W20p0 EOF1 lag2,0.02446922937014339,0.02446922937014339,1,800
75,1077,thetao W10p0 EOF8 lag3,-0.024424700429653865,0.024424700429653865,1,1077
76,1297,thetao W10p0 EOF8 lag25,0.02441548364936186,0.02441548364936186,1,1297
77,2097,so W20p0 EOF8 lag1,-0.024196051639707537,0.024196051639707537,1,2097
78,1829,so W30p0 EOF10 lag0,0.024133444319507768,0.024133444319507768,1,1829
79,2363,so W10p0 EOF4 lag2,-0.02407350635194439,0.02407350635194439,1,2363
80,1592,so W40p0 EOF3 lag3,-0.02400697259098111,0.02400697259098111,1,1592
81,531,thetao W30p0 EOF2 lag1,0.02389067195011361,0.02389067195011361,1,531
82,2149,so W20p0 EOF10 lag6,-0.023690999614276908,0.023690999614276908,1,2149
83,1575,so W40p0 EOF6 lag1,-0.023685404688579374,0.023685404688579374,1,1575
84,1322,so W60p0 EOF3 lag2,0.023469857140531635,0.023469857140531635,1,1322
85,1602,so W40p0 EOF3 lag4,-0.02326324135451659,0.02326324135451659,1,1602
86,1291,thetao W10p0 EOF2 lag25,0.023243762843691687,0.023243762843691687,26,1041
87,522,thetao W30p0 EOF3 lag0,0.02313475207152947,0.02313475207152947,26,522
88,259,thetao W60p0 EOF10 lag25,-0.023124352312783605,0.023124352312783605,1,259
