K,r2,corr,var_ratio
1,0.010189368121344522,0.10232948958733556,0.007316738395108717
2,0.35778655775266366,0.5985190299827912,0.333597875777129
3,0.34260987964565137,0.5853306543296632,0.3409195457412227
5,0.3748467500170942,0.6122879327933411,0.3663078017039339
8,0.42062919643435404,0.648684985483631,0.4043908116417329
10,0.4552746768991348,0.6747406139612198,0.45590697732700636
12,0.4893200968283762,0.6995262877352614,0.48359734468223464
15,0.489105260393101,0.6997775493476862,0.4564687982721153
20,0.5133162901906534,0.7164676631672829,0.5177804562319269
30,0.5495528675820343,0.741727526490395,0.5873106849518812
50,0.6128447245204869,0.7850236484471049,0.7114622614745532
80,0.6275556074385914,0.7954407708089581,0.7522897059563638
120,0.6275039666946556,0.7957784764940735,0.75980738093842
