Model,Member,AMOC_trend_Sv_per_century,Group
EC-Earth3,r10i1p1f1,-2.0729825757472855,AMOC-
EC-Earth3,r11i1p1f1,-4.797552069663701,AMOC-
EC-Earth3,r12i1p1f1,3.454015031060283,AMOC+
EC-Earth3,r13i1p1f1,1.3382136346504774,AMOC+
EC-Earth3,r14i1p1f1,4.110762391773686,AMOC+
EC-Earth3,r15i1p1f1,4.064004477307605,AMOC+
EC-Earth3,r16i1p1f1,1.1107222476177043,AMOC+
EC-Earth3,r17i1p1f1,2.8217832358515764,AMOC+
EC-Earth3,r18i1p1f1,-3.713858872769227,AMOC-
EC-Earth3,r19i1p1f1,-2.912395371515228,AMOC-
EC-Earth3,r1i1p1f1,-0.4440634635524097,AMOC-
EC-Earth3,r20i1p1f1,4.433927444552485,AMOC+
EC-Earth3,r21i1p1f1,4.787916799484092,AMOC+
EC-Earth3,r22i1p1f1,5.038972407861552,AMOC+
EC-Earth3,r23i1p1f1,-1.6026014578512224,AMOC-
EC-Earth3,r24i1p1f1,-1.2028596425926392,AMOC-
EC-Earth3,r25i1p1f1,3.8142259821669144,AMOC+
EC-Earth3,r2i1p1f1,2.29959616956042,AMOC+
EC-Earth3,r3i1p1f1,3.842287309086328,AMOC+
EC-Earth3,r4i1p1f1,3.3321292987661537,AMOC+
EC-Earth3,r5i1p1f1,-0.1564980002236944,AMOC-
EC-Earth3,r6i1p1f1,-1.281117861722548,AMOC-
EC-Earth3,r7i1p1f1,-0.8499775908103889,AMOC-
EC-Earth3,r8i1p1f1,2.8100944026359675,AMOC+
EC-Earth3,r9i1p1f1,4.55240702839207,AMOC+
