var,lon,mode0,mode,lag,corr,abs_corr
so,W10p0,4,5,16,0.780938448617132,0.780938448617132
thetao,W30p0,8,9,16,-0.7684153541773119,0.7684153541773119
so,W10p0,4,5,21,0.7656262340013121,0.7656262340013121
so,W10p0,4,5,18,0.7620584013873587,0.7620584013873587
thetao,W30p0,8,9,15,-0.7568598903242094,0.7568598903242094
so,W10p0,4,5,15,0.7532004747743208,0.7532004747743208
so,W10p0,4,5,17,0.7523799090483364,0.7523799090483364
so,W10p0,4,5,20,0.748050320369196,0.748050320369196
so,W40p0,2,3,0,-0.7454956992071711,0.7454956992071711
thetao,W30p0,8,9,17,-0.7429952287970033,0.7429952287970033
thetao,W20p0,2,3,25,-0.7401407707253107,0.7401407707253107
so,W10p0,4,5,14,0.7389233942153877,0.7389233942153877
so,W10p0,4,5,19,0.738260308024513,0.738260308024513
thetao,W20p0,2,3,24,-0.7374855674908619,0.7374855674908619
so,W10p0,4,5,23,0.7334862936829728,0.7334862936829728
so,W10p0,4,5,22,0.7260105497750123,0.7260105497750123
thetao,W20p0,2,3,23,-0.7257400832537412,0.7257400832537412
thetao,W10p0,0,1,25,-0.7200743334864325,0.7200743334864325
thetao,W30p0,8,9,14,-0.7175119831169683,0.7175119831169683
thetao,W40p0,2,3,0,-0.7154659091386635,0.7154659091386635
thetao,W10p0,0,1,24,-0.7089500418285315,0.7089500418285315
thetao,W20p0,2,3,22,-0.7063876250265847,0.7063876250265847
so,W40p0,2,3,2,-0.70487173542941,0.70487173542941
thetao,W30p0,8,9,18,-0.7040785583379732,0.7040785583379732
thetao,W30p0,8,9,13,-0.7019813223627334,0.7019813223627334
thetao,W10p0,0,1,23,-0.7001139744360889,0.7001139744360889
thetao,W20p0,2,3,21,-0.6949586060283035,0.6949586060283035
so,W10p0,4,5,24,0.6945141201665013,0.6945141201665013
thetao,W60p0,1,2,0,-0.6917900592678018,0.6917900592678018
thetao,W10p0,0,1,22,-0.6910396659042808,0.6910396659042808
thetao,W20p0,2,3,20,-0.6902268372144824,0.6902268372144824
thetao,W30p0,8,9,21,-0.6896007690082637,0.6896007690082637
thetao,W10p0,0,1,21,-0.6894235733077566,0.6894235733077566
thetao,W20p0,2,3,19,-0.6889762676001233,0.6889762676001233
thetao,W30p0,8,9,12,-0.6883514441863434,0.6883514441863434
so,W20p0,8,9,25,0.6868322080517063,0.6868322080517063
so,W40p0,2,3,1,-0.6863376339160496,0.6863376339160496
so,W20p0,9,10,16,-0.6850774925166719,0.6850774925166719
thetao,W10p0,2,3,16,0.6845782013606377,0.6845782013606377
so,W60p0,1,2,25,-0.6829538588766367,0.6829538588766367
thetao,W10p0,0,1,20,-0.6822676189177699,0.6822676189177699
thetao,W10p0,0,1,18,-0.6816241979418519,0.6816241979418519
so,W20p0,9,10,20,-0.6813765541268153,0.6813765541268153
so,W40p0,2,3,3,-0.6811532160925637,0.6811532160925637
thetao,W10p0,0,1,19,-0.6809194073724398,0.6809194073724398
thetao,W10p0,2,3,17,0.6803957707466016,0.6803957707466016
thetao,W30p0,8,9,20,-0.6803933778179712,0.6803933778179712
thetao,W20p0,2,3,18,-0.6800851616971164,0.6800851616971164
thetao,W20p0,2,3,17,-0.6796923663799782,0.6796923663799782
so,W20p0,9,10,18,-0.6791776599383187,0.6791776599383187
so,W10p0,4,5,25,0.6787716011075903,0.6787716011075903
thetao,W10p0,0,1,16,-0.678311750578852,0.678311750578852
so,W60p0,0,1,2,0.6780343650714332,0.6780343650714332
thetao,W30p0,3,4,24,0.6779227388040591,0.6779227388040591
thetao,W10p0,0,1,17,-0.6777666061816185,0.6777666061816185
so,W10p0,4,5,13,0.6773651916608863,0.6773651916608863
thetao,W10p0,2,3,18,0.6770047509813477,0.6770047509813477
thetao,W10p0,0,1,15,-0.6766850416217095,0.6766850416217095
so,W60p0,0,1,1,0.6756384961085575,0.6756384961085575
so,W20p0,9,10,17,-0.6755382167941557,0.6755382167941557
thetao,W10p0,2,3,15,0.6734206102535418,0.6734206102535418
thetao,W30p0,3,4,25,0.6715753341496122,0.6715753341496122
thetao,W30p0,8,9,11,-0.670930245593708,0.670930245593708
so,W60p0,1,2,20,-0.6707134861021794,0.6707134861021794
thetao,W40p0,6,7,25,0.6702824921232559,0.6702824921232559
so,W40p0,2,3,7,-0.6698654408128188,0.6698654408128188
thetao,W20p0,2,3,16,-0.667918446591671,0.667918446591671
thetao,W30p0,3,4,23,0.6675961446324731,0.6675961446324731
thetao,W10p0,2,3,19,0.6659460165077772,0.6659460165077772
thetao,W60p0,9,10,6,-0.6659458569503801,0.6659458569503801
so,W60p0,1,2,24,-0.6658703203068168,0.6658703203068168
thetao,W10p0,2,3,20,0.6654582003312899,0.6654582003312899
thetao,W60p0,9,10,7,-0.6637237470876638,0.6637237470876638
so,W40p0,2,3,4,-0.6635997736444281,0.6635997736444281
thetao,W10p0,0,1,14,-0.66355333372269,0.66355333372269
thetao,W60p0,2,3,12,0.6626205067307633,0.6626205067307633
thetao,W40p0,1,2,25,-0.6619721969949891,0.6619721969949891
thetao,W30p0,3,4,20,0.661882307911969,0.661882307911969
thetao,W20p0,4,5,20,0.6603688548427814,0.6603688548427814
so,W30p0,8,9,16,0.6601595567787858,0.6601595567787858
thetao,W30p0,8,9,19,-0.6599267063853397,0.6599267063853397
so,W20p0,9,10,21,-0.6588533704466071,0.6588533704466071
thetao,W10p0,3,4,25,0.6585257768582315,0.6585257768582315
so,W60p0,1,2,23,-0.6582329113848419,0.6582329113848419
so,W60p0,0,1,3,0.6580705814694299,0.6580705814694299
so,W10p0,4,5,4,0.6579592938774743,0.6579592938774743
thetao,W60p0,1,2,16,-0.657885100793198,0.657885100793198
thetao,W20p0,2,3,15,-0.6571622659954643,0.6571622659954643
so,W60p0,1,2,21,-0.6561479595845044,0.6561479595845044
thetao,W10p0,0,1,6,-0.6559448467202783,0.6559448467202783
so,W30p0,4,5,17,0.6558422996436085,0.6558422996436085
so,W10p0,4,5,6,0.6557899185349634,0.6557899185349634
thetao,W30p0,3,4,19,0.6550235774141563,0.6550235774141563
thetao,W40p0,1,2,24,-0.6549436116450972,0.6549436116450972
thetao,W40p0,2,3,12,-0.6546343037481929,0.6546343037481929
thetao,W10p0,0,1,1,-0.6543195882891277,0.6543195882891277
thetao,W30p0,3,4,21,0.6535664352624763,0.6535664352624763
thetao,W10p0,0,1,5,-0.6524378106927577,0.6524378106927577
so,W30p0,8,9,13,0.6519046041182646,0.6519046041182646
so,W30p0,8,9,15,0.6517877928283144,0.6517877928283144
thetao,W20p0,4,5,18,0.6517589139969304,0.6517589139969304
thetao,W60p0,1,2,1,-0.6517525627777382,0.6517525627777382
thetao,W10p0,0,1,4,-0.6515959054942625,0.6515959054942625
thetao,W10p0,0,1,2,-0.6513188362598749,0.6513188362598749
thetao,W10p0,0,1,3,-0.6507180480471235,0.6507180480471235
thetao,W30p0,1,2,17,-0.6506168744779617,0.6506168744779617
thetao,W10p0,0,1,0,-0.6506070866649721,0.6506070866649721
thetao,W20p0,4,5,19,0.6503125915421705,0.6503125915421705
thetao,W10p0,2,3,21,0.6501824889109007,0.6501824889109007
so,W10p0,4,5,5,0.6499575629497298,0.6499575629497298
thetao,W30p0,3,4,22,0.6494681500469721,0.6494681500469721
so,W10p0,4,5,8,0.6490920475189998,0.6490920475189998
thetao,W40p0,6,7,24,0.6490099494145032,0.6490099494145032
thetao,W20p0,4,5,17,0.6488807180890842,0.6488807180890842
so,W60p0,1,2,19,-0.6487088668697414,0.6487088668697414
thetao,W40p0,2,3,18,-0.6480845003562735,0.6480845003562735
thetao,W60p0,1,2,6,-0.6477612125574007,0.6477612125574007
thetao,W20p0,4,5,21,0.6474953733943315,0.6474953733943315
thetao,W20p0,4,5,16,0.6474039582572858,0.6474039582572858
thetao,W60p0,1,2,17,-0.6473655264879403,0.6473655264879403
thetao,W30p0,3,4,10,0.6468949014928349,0.6468949014928349
so,W20p0,9,10,19,-0.6467163248322363,0.6467163248322363
thetao,W40p0,7,8,18,-0.6466968132081727,0.6466968132081727
so,W10p0,4,5,11,0.6463700985753156,0.6463700985753156
thetao,W60p0,1,2,8,-0.6463331249384405,0.6463331249384405
thetao,W10p0,0,1,7,-0.6463162125185248,0.6463162125185248
so,W30p0,1,2,5,-0.6461211784758242,0.6461211784758242
thetao,W10p0,0,1,13,-0.6458126768936611,0.6458126768936611
thetao,W60p0,1,2,5,-0.6457158413343167,0.6457158413343167
thetao,W60p0,9,10,8,-0.6456599061220447,0.6456599061220447
so,W30p0,8,9,22,0.6456038529207092,0.6456038529207092
thetao,W60p0,1,2,15,-0.6455694393628072,0.6455694393628072
thetao,W10p0,3,4,24,0.6453509936283572,0.6453509936283572
thetao,W40p0,7,8,21,-0.6453436801826606,0.6453436801826606
so,W10p0,4,5,7,0.6453431908039334,0.6453431908039334
thetao,W40p0,2,3,16,-0.6447031530449846,0.6447031530449846
so,W20p0,9,10,15,-0.6445060930131821,0.6445060930131821
so,W30p0,4,5,14,0.64387923836266,0.64387923836266
thetao,W10p0,3,4,23,0.6438284334038015,0.6438284334038015
thetao,W10p0,0,1,11,-0.6438279558128488,0.6438279558128488
thetao,W40p0,2,3,11,-0.6437347030229119,0.6437347030229119
thetao,W60p0,3,4,21,-0.6434689493678432,0.6434689493678432
thetao,W10p0,0,1,8,-0.6428512418685277,0.6428512418685277
so,W10p0,4,5,12,0.6424721327908368,0.6424721327908368
thetao,W30p0,1,2,25,-0.6420386636590592,0.6420386636590592
thetao,W40p0,2,3,13,-0.6418818889868052,0.6418818889868052
so,W20p0,9,10,23,-0.6418151840533849,0.6418151840533849
so,W20p0,3,4,3,0.6417105217988055,0.6417105217988055
so,W10p0,3,4,12,0.6415337022007541,0.6415337022007541
thetao,W40p0,2,3,17,-0.6406316870651695,0.6406316870651695
