N_seeds,n_features,alpha,R2_val,R2_test,corr_test
1,4,1e-06,-2.0588007232978542,-1.707321388351056,0.9119297595551131
2,4,1e-06,-2.0588007232978542,-1.707321388351056,0.9119297595551131
5,11,1e-06,-0.33717873896816797,0.7299509699626154,0.8789477512762338
10,31,10.0,-0.2394415091878681,0.7105803134625417,0.8850664850629932
20,52,10.0,0.08908701352983228,-0.11138774543602836,0.6519636276090255
30,72,10.0,-0.34668211744911925,-2.0782199224778704,-0.7852071434810056
40,111,100.0,-1.2356002738976262,-0.23470786824558565,0.7202404463801745
50,124,100.0,-1.1090312956196748,-0.013379100595979354,0.8304702277830354
75,180,100.0,-1.2897692845244588,0.534988446325767,0.9207386407534117
100,233,100.0,-0.9822759801021534,0.536359705434178,0.9312963914432162
