var,lon,mode0,lag,corr,abs_corr
so,W60p0,0,1,0.5610561105702405,0.5610561105702405
so,W60p0,0,0,0.5432258818066927,0.5432258818066927
so,W60p0,0,2,0.5270397516492996,0.5270397516492996
so,W60p0,0,3,0.49146348712304605,0.49146348712304605
so,W40p0,1,2,0.48131413633182885,0.48131413633182885
so,W30p0,4,17,0.46524271489067154,0.46524271489067154
so,W10p0,4,16,0.45860157022103487,0.45860157022103487
so,W40p0,1,1,0.4453781382214983,0.4453781382214983
thetao,W30p0,8,16,-0.43156120146082066,0.43156120146082066
so,W30p0,0,2,0.4276206953972044,0.4276206953972044
so,W40p0,1,3,0.42684048358142335,0.42684048358142335
so,W30p0,0,3,0.42479179632936537,0.42479179632936537
thetao,W20p0,8,3,-0.4246085642200283,0.4246085642200283
so,W30p0,4,16,0.4228365915321102,0.4228365915321102
so,W40p0,1,0,0.42115174483175505,0.42115174483175505
so,W60p0,0,8,0.4185386014678867,0.4185386014678867
so,W10p0,4,14,0.41645300633310456,0.41645300633310456
thetao,W10p0,7,0,-0.4161758179996405,0.4161758179996405
so,W20p0,8,25,0.41512831436469816,0.41512831436469816
so,W60p0,0,5,0.4145437334849547,0.4145437334849547
so,W60p0,0,4,0.41302333476738157,0.41302333476738157
so,W60p0,0,6,0.4127460426876432,0.4127460426876432
so,W10p0,5,11,-0.40553013888755884,0.40553013888755884
so,W30p0,0,1,0.4049816301518772,0.4049816301518772
so,W10p0,5,8,-0.40457488384882795,0.40457488384882795
so,W30p0,5,12,-0.4039850108380543,0.4039850108380543
so,W10p0,4,21,0.4037527887059126,0.4037527887059126
thetao,W30p0,8,15,-0.40113320776796535,0.40113320776796535
thetao,W10p0,7,1,-0.3998892391844966,0.3998892391844966
so,W60p0,0,7,0.394217768161284,0.394217768161284
so,W10p0,7,10,-0.3930703495547383,0.3930703495547383
thetao,W20p0,9,22,0.3920602483150787,0.3920602483150787
so,W10p0,7,7,-0.3919113523513269,0.3919113523513269
so,W60p0,7,2,-0.39054705166903697,0.39054705166903697
so,W40p0,1,4,0.3903586121423542,0.3903586121423542
thetao,W10p0,8,1,-0.39026809778100874,0.39026809778100874
so,W40p0,5,10,0.38920073626325286,0.38920073626325286
thetao,W10p0,8,21,0.38885544673148975,0.38885544673148975
thetao,W30p0,8,17,-0.38797597197429834,0.38797597197429834
thetao,W20p0,0,3,0.38699493055601153,0.38699493055601153
so,W10p0,4,15,0.38686422511861895,0.38686422511861895
so,W30p0,4,15,0.3856543465016964,0.3856543465016964
thetao,W40p0,2,0,-0.38550962936222277,0.38550962936222277
so,W30p0,4,14,0.3825799359793162,0.3825799359793162
so,W10p0,7,9,-0.3810320736384981,0.3810320736384981
so,W30p0,0,6,0.37732488001824127,0.37732488001824127
so,W10p0,2,12,-0.37629250058668895,0.37629250058668895
so,W30p0,0,0,0.3723149088086768,0.3723149088086768
so,W30p0,0,4,0.3718795876640773,0.3718795876640773
so,W30p0,0,5,0.3712057121320859,0.3712057121320859
so,W30p0,5,10,-0.3704563879830884,0.3704563879830884
thetao,W30p0,4,0,0.37019892098084356,0.37019892098084356
thetao,W40p0,6,10,0.36800072959950586,0.36800072959950586
thetao,W10p0,8,20,0.3633957590579493,0.3633957590579493
so,W40p0,8,18,0.3621055207268267,0.3621055207268267
so,W20p0,0,1,0.36148689226827135,0.36148689226827135
thetao,W30p0,8,13,-0.3610743155867761,0.3610743155867761
thetao,W10p0,8,24,0.3602085439263295,0.3602085439263295
so,W40p0,5,14,0.35978326120522935,0.35978326120522935
thetao,W20p0,9,23,0.35965727276982407,0.35965727276982407
so,W30p0,5,13,-0.35760939861664615,0.35760939861664615
thetao,W30p0,8,14,-0.35741798621604143,0.35741798621604143
so,W20p0,0,5,0.3566288283064092,0.3566288283064092
thetao,W60p0,2,12,0.35621915651236247,0.35621915651236247
so,W20p0,0,6,0.35598700534733174,0.35598700534733174
thetao,W30p0,8,12,-0.35591586706746897,0.35591586706746897
so,W20p0,5,17,-0.3555141586949018,0.3555141586949018
so,W30p0,5,14,-0.3540235959328718,0.3540235959328718
so,W20p0,0,0,0.3539776753755669,0.3539776753755669
thetao,W10p0,8,23,0.35278818531492023,0.35278818531492023
so,W10p0,4,18,0.3517854557315729,0.3517854557315729
so,W20p0,1,12,0.3488791014002952,0.3488791014002952
thetao,W30p0,7,24,-0.3484448362877328,0.3484448362877328
thetao,W10p0,8,22,0.3477030261310906,0.3477030261310906
so,W20p0,0,3,0.3460686446688811,0.3460686446688811
thetao,W20p0,9,19,0.3434660607390972,0.3434660607390972
so,W30p0,5,11,-0.34307835166167155,0.34307835166167155
so,W10p0,4,17,0.34242023718057696,0.34242023718057696
so,W30p0,4,18,0.34182961739845036,0.34182961739845036
so,W20p0,0,2,0.3411453307755425,0.3411453307755425
thetao,W30p0,5,12,-0.340685365953563,0.340685365953563
thetao,W60p0,1,0,-0.3400181289187787,0.3400181289187787
so,W40p0,1,6,0.3392065664556609,0.3392065664556609
thetao,W10p0,7,3,-0.3389868098864753,0.3389868098864753
so,W60p0,5,7,0.3387236640460819,0.3387236640460819
thetao,W60p0,9,1,-0.3383439553154451,0.3383439553154451
so,W10p0,6,24,0.3368694419413171,0.3368694419413171
thetao,W10p0,8,19,0.3365433116046031,0.3365433116046031
so,W40p0,1,7,0.33546763392907514,0.33546763392907514
so,W20p0,2,11,0.33353818976450655,0.33353818976450655
so,W10p0,5,4,-0.33351723596856636,0.33351723596856636
so,W40p0,2,0,-0.33286433556954087,0.33286433556954087
thetao,W20p0,8,2,-0.332741879571391,0.332741879571391
thetao,W10p0,5,10,-0.33269663331830557,0.33269663331830557
thetao,W30p0,4,2,0.3315722231740479,0.3315722231740479
so,W40p0,2,2,-0.3298644870983427,0.3298644870983427
so,W40p0,5,11,0.32925990462986116,0.32925990462986116
