N_seeds,lag_window,maxlag_used,n_features,alpha_chosen_on_val,R2_test,corr_test,var_ratio_test,mae_test,rmse_test
1,2,3,4,1e-06,-1.4819554118719966,0.9178920624414089,1.523943760590225,0.709606710431437,0.7990961338641231
2,2,4,5,1.0,-1.4988964987323143,0.91810354609119,1.5283881906493333,0.7118114326711846,0.8018186917761082
5,2,24,16,1e-06,0.5843808421887426,0.8750203871484623,0.513590391650234,0.2773534121915257,0.334990032109663
10,2,24,28,10.0,0.4209169272487604,0.8288097798757187,0.3612421453625305,0.33359137520245186,0.39541627502204413
20,2,25,51,316.0,0.3193404485021969,0.9036276759168639,0.30265003155247966,0.3632706078194963,0.4256547774981168
30,2,25,76,0.01,0.31536725317611103,0.7247527553875416,0.6817377300108801,0.3605051486377975,0.42689530129082265
40,2,25,86,1.0,-0.9237854712649858,0.3868233676873384,0.43325525302392337,0.5846742861757834,0.7156008716362953
50,2,25,105,1.0,0.5704579758641728,0.8177482653039462,1.0100821967861562,0.27360381151008184,0.33813908278306903
75,2,25,153,100.0,0.6049555124530043,0.9199793218768122,0.47548272473264364,0.2852193651679797,0.3242765498090157
100,2,25,220,0.1,0.15401734030082148,0.4851184310259151,0.4470016133531357,0.41582001989421274,0.4745404866048085
