K_groups,L_contig,n_features,alpha_chosen_on_val,R2_test,corr_test,var_ratio_test,mae_test,rmse_test,R2_val
5,10,50,10.0,0.4383458665363842,0.8561265355482198,0.41093270510571245,0.3438925833494744,0.3869909366267686,-1.1498157982659891
8,10,80,10.0,0.32297426657980177,0.5746512697383422,0.4990085836661657,0.3673410893575991,0.4248825573038327,-0.4964357390430256
10,10,100,10.0,0.34494536009296217,0.6040140414934468,0.5790377605155139,0.3191795204281062,0.4179314731850725,-0.7798764895688504
12,10,120,1.0,0.44874892147099643,0.7359319994620658,0.9155308514797239,0.3048825465335276,0.3833902289575292,-1.0043218568452423
15,10,150,10.0,-0.6019946877505835,0.21811248303440725,0.5165695647984185,0.4842768118783,0.6535771346392641,-1.8799568076207729
20,10,200,1e-06,-0.663605189948353,-0.03911639703304258,0.6434575030029165,0.505982438400207,0.6660264051936803,-1.7997140585897107
30,10,300,1e-06,0.5583859848853783,0.9337509381178519,0.9378663676156093,0.29389409367026686,0.34315295104901006,-0.6496765815015526
40,10,400,1e-06,0.8059867146501868,0.9354039778356655,0.7024509843422471,0.18288917335682073,0.22744796167988784,-0.2575507200815137
60,10,600,1e-06,0.7808635740482673,0.9270344517612438,0.6493495754079059,0.20711251657206414,0.241726131213728,0.2595406353100923
80,10,800,1e-06,0.835835933467206,0.9413313329207212,0.7806183864351022,0.16740533648741596,0.20922104405435232,-0.06760132989518275
100,10,1000,1e-06,0.839687104713895,0.9377254993199728,0.7709363331652305,0.165014901993066,0.20675239212047578,-0.04914141038162345
