var,lon,mode0,importance
so,W60p0,8,0.0342338053400778
so,W10p0,7,0.03302741980098439
so,W40p0,8,0.03153215921657284
so,W10p0,5,0.03117168361633295
so,W60p0,6,0.030152314857552768
so,W30p0,9,0.029362407904314287
so,W60p0,4,0.028819048240247766
so,W60p0,9,0.028578043394664604
so,W30p0,7,0.028044603803583045
so,W30p0,2,0.02696611836124651
thetao,W20p0,7,0.02686430458224546
thetao,W10p0,6,0.026858829802389357
thetao,W30p0,7,0.026767695204813893
so,W20p0,8,0.026162067728597263
so,W60p0,2,0.0257544628208959
thetao,W20p0,8,0.025414623721663396
thetao,W60p0,7,0.02498824962050603
thetao,W20p0,9,0.024703676829477966
thetao,W40p0,8,0.024679259890281573
so,W60p0,3,0.024021924413261918
so,W20p0,5,0.02375442645854161
so,W60p0,7,0.0230288400960947
so,W30p0,5,0.02302350934248193
so,W40p0,7,0.02272266445752498
so,W40p0,6,0.022685180117932177
so,W30p0,6,0.02265123007063337
so,W10p0,9,0.02257622487422664
thetao,W40p0,4,0.022364733350664044
so,W20p0,2,0.02226956616932671
thetao,W40p0,5,0.02224931389721469
so,W10p0,4,0.0220637829342405
so,W10p0,6,0.021849973201689837
thetao,W60p0,3,0.02181468663459457
thetao,W10p0,9,0.021755263773882743
so,W20p0,7,0.021740009385163774
so,W20p0,4,0.02171733625966882
thetao,W20p0,3,0.021356529803747443
so,W40p0,0,0.021113250958961036
thetao,W40p0,2,0.021086197705151733
so,W10p0,2,0.0209463235489612
thetao,W20p0,6,0.020788538980209607
so,W30p0,4,0.020706124560745363
thetao,W60p0,9,0.020665097882303137
thetao,W30p0,9,0.020665096616770726
thetao,W60p0,4,0.020567079530437675
so,W40p0,5,0.02050789529874273
so,W60p0,5,0.020294639193672238
thetao,W60p0,6,0.02027958800899246
so,W20p0,3,0.0196937204450306
so,W20p0,1,0.0192069723545268
so,W40p0,2,0.019127335287104655
thetao,W30p0,4,0.01901901029116525
so,W20p0,9,0.01897569249732334
thetao,W10p0,5,0.01826302508839657
thetao,W60p0,5,0.018244379585758187
thetao,W40p0,3,0.01819943918451005
so,W40p0,4,0.017831028755720086
so,W40p0,3,0.017740994669055578
thetao,W10p0,7,0.01772995446115121
thetao,W30p0,5,0.01755957808925301
so,W40p0,9,0.01742942174592777
thetao,W10p0,8,0.017305006090793842
so,W30p0,8,0.016994980472549968
so,W60p0,0,0.016680990702422533
thetao,W30p0,8,0.016305952360568792
thetao,W60p0,2,0.016262115626818632
thetao,W10p0,4,0.016244288775795656
thetao,W40p0,7,0.016203385486704018
so,W20p0,6,0.015957989127326173
so,W10p0,8,0.015780905321180854
thetao,W40p0,6,0.015606646093650936
so,W60p0,1,0.015590523813571818
thetao,W40p0,0,0.01544387741799702
so,W30p0,1,0.015048390897881719
thetao,W20p0,5,0.014851619086253055
so,W40p0,1,0.014652191285899098
thetao,W60p0,8,0.014468128803119719
so,W30p0,0,0.014383038057565104
thetao,W20p0,0,0.013816971775365679
so,W30p0,3,0.01360894279324618
so,W20p0,0,0.012480205935552272
so,W10p0,3,0.01234635531692903
thetao,W40p0,9,0.011853940550234107
thetao,W40p0,1,0.011836742518488397
thetao,W30p0,1,0.01168025814325824
so,W10p0,0,0.011641308589978012
so,W10p0,1,0.01143269533139801
thetao,W30p0,6,0.010968991154108947
thetao,W30p0,0,0.010622849228795852
thetao,W60p0,1,0.010456772310979957
thetao,W10p0,3,0.010182344094714335
thetao,W20p0,1,0.00974468248908328
thetao,W10p0,2,0.009471791719086409
thetao,W60p0,0,0.009403898171074251
thetao,W30p0,2,0.008957698147448984
thetao,W10p0,1,0.008918630974535843
thetao,W30p0,3,0.008185152158621398
thetao,W20p0,4,0.007923396213362032
thetao,W20p0,2,0.0057911977421190985
thetao,W10p0,0,0.004687838148879867
