var,lon,mode0,importance
thetao,W30p0,7,0.04525394240513783
so,W60p0,4,0.04278494777950469
so,W30p0,9,0.039758291635269005
so,W10p0,7,0.03952282919972001
so,W10p0,6,0.03795316108267375
so,W60p0,7,0.036583893170446746
so,W60p0,3,0.03633041956153701
so,W60p0,2,0.03610727889431555
so,W40p0,8,0.0360424820650731
thetao,W10p0,6,0.03594755359953654
so,W40p0,3,0.03563222678823771
so,W40p0,6,0.034866373304348844
thetao,W20p0,7,0.03420419825200613
so,W60p0,9,0.033310341128125844
so,W60p0,8,0.032487536645635195
thetao,W10p0,4,0.032006683240002005
so,W60p0,6,0.031558343250649754
so,W10p0,9,0.031422770013947644
thetao,W10p0,9,0.031093027129806328
so,W30p0,6,0.03032831364065402
so,W40p0,2,0.03023014268005257
thetao,W60p0,7,0.029847870019311575
so,W30p0,7,0.029330641008251043
thetao,W40p0,8,0.02912847608584388
so,W40p0,7,0.029103820126126195
thetao,W60p0,4,0.02907076257462133
so,W40p0,0,0.02873814500990692
thetao,W30p0,4,0.02871246876823156
thetao,W60p0,5,0.028174288184976082
so,W40p0,1,0.02779640825890692
so,W20p0,9,0.027729453048085384
thetao,W60p0,9,0.02652744878344128
so,W60p0,5,0.025988026924709588
thetao,W20p0,9,0.025420216799114895
thetao,W10p0,7,0.02534586746129825
thetao,W20p0,8,0.02534190814164437
so,W10p0,2,0.02495094875439945
so,W60p0,1,0.024835187737669767
thetao,W40p0,5,0.02478284977371414
thetao,W10p0,8,0.024398928013281595
thetao,W30p0,9,0.024100049278807354
so,W20p0,2,0.024041962890987176
so,W20p0,4,0.023969062690345128
so,W40p0,9,0.02394497121217131
so,W40p0,4,0.02381449685569559
so,W20p0,3,0.023712126015114063
thetao,W60p0,6,0.023412401503283307
thetao,W20p0,0,0.023295224045284807
so,W40p0,5,0.02228120767686769
so,W20p0,7,0.022140497539972742
so,W30p0,2,0.020865926449498202
so,W60p0,0,0.0206715999857992
thetao,W40p0,4,0.020450755392920655
so,W10p0,8,0.02043513291588342
so,W30p0,3,0.02033837042427058
so,W30p0,1,0.019619043428553147
thetao,W40p0,2,0.019568458711984944
thetao,W20p0,6,0.019319314769198306
thetao,W30p0,8,0.0190741651636541
so,W20p0,8,0.019013643939734988
so,W30p0,0,0.018898950492443153
thetao,W10p0,5,0.01848955031879726
thetao,W20p0,3,0.018284667103331674
thetao,W60p0,8,0.018076155276958022
so,W30p0,8,0.01790045408208092
so,W10p0,5,0.01733807566735045
thetao,W40p0,0,0.01730746265402179
so,W30p0,5,0.01698389592743767
thetao,W60p0,3,0.01685652751309423
so,W20p0,0,0.016635257717912126
thetao,W40p0,1,0.016310452922274826
so,W10p0,4,0.016258453838297066
so,W20p0,1,0.015811268276485373
so,W20p0,5,0.015305905834242902
so,W20p0,6,0.015221700640820734
so,W30p0,4,0.014995412461987859
thetao,W20p0,5,0.014784401689175684
thetao,W30p0,1,0.014387721249324695
thetao,W40p0,3,0.0143851530566761
thetao,W20p0,1,0.0133447333685386
thetao,W60p0,1,0.013105401717342006
thetao,W60p0,2,0.013104978427216038
thetao,W40p0,6,0.013098541918151166
so,W10p0,3,0.01237670809673252
thetao,W40p0,7,0.012051711360127615
thetao,W30p0,0,0.011845636388260842
thetao,W30p0,3,0.011709127603604541
thetao,W40p0,9,0.010595229545890749
thetao,W30p0,2,0.010323839395983067
thetao,W60p0,0,0.010266939371467314
so,W10p0,0,0.009410063100806977
thetao,W30p0,6,0.009170622969508165
thetao,W10p0,1,0.008989187496681168
thetao,W30p0,5,0.008202143833255493
so,W10p0,1,0.007779599575642406
thetao,W10p0,3,0.007498949535919202
thetao,W10p0,2,0.006469805276693096
thetao,W10p0,0,0.005571895755643479
thetao,W20p0,2,0.005039373591468537
thetao,W20p0,4,0.004766077019598587
