K_groups,n_features,alpha,R2_val,R2_test,corr_test
5,130,316.0,-3.102760293998953,0.022576180402479995,0.6465654716577274
8,208,1e-06,-1.8369817667308834,0.4037275280686339,0.7545961318960419
10,260,10.0,-2.4147084578441502,0.05491711178785619,0.6741841736612246
12,312,10.0,-2.457323436581601,0.0673554559884737,0.7641940127129402
15,390,10.0,-2.0276585065844843,0.1138561681389777,0.7593851922038061
20,520,10.0,-2.032415857141921,-0.19840842870758446,0.41256024047674733
30,780,10.0,-2.769060936848966,-0.10512626988817142,0.5960600301991059
40,1040,1e-06,-1.7466834982182537,-0.2357481828480994,0.7034842464944521
60,1560,1e-06,-2.094563239139927,-0.18823393230155205,0.6993893925848267
80,2080,10.0,-1.8856048009610418,0.3837165244472296,0.8669484318300833
100,2600,10.0,-2.3592192541762556,0.24923441922098044,0.8402678798896875
