var,lon,mode0,mode,lag,corr,abs_corr
so,W60p0,0,1,1,0.5412793564487206,0.5412793564487206
so,W60p0,0,1,2,0.5241054172436127,0.5241054172436127
so,W40p0,1,2,2,0.5165820749291216,0.5165820749291216
so,W60p0,0,1,3,0.49549799117798143,0.49549799117798143
thetao,W20p0,9,10,22,0.4845466308840565,0.4845466308840565
so,W60p0,0,1,0,0.48157296356455104,0.48157296356455104
so,W30p0,0,1,3,0.47825775087963796,0.47825775087963796
so,W10p0,4,5,16,0.4776273213003939,0.4776273213003939
so,W40p0,1,2,3,0.4714629244852239,0.4714629244852239
so,W30p0,0,1,2,0.4710992584470142,0.4710992584470142
thetao,W30p0,8,9,16,-0.4679478590815435,0.4679478590815435
thetao,W20p0,9,10,23,0.4583810995872009,0.4583810995872009
so,W40p0,1,2,1,0.4575663703942365,0.4575663703942365
so,W40p0,1,2,0,0.4502347671213906,0.4502347671213906
so,W30p0,4,5,17,0.44368744087994655,0.44368744087994655
thetao,W20p0,0,1,3,0.4338545727825413,0.4338545727825413
so,W30p0,0,1,1,0.4324567236174834,0.4324567236174834
so,W40p0,1,2,4,0.4310746510941085,0.4310746510941085
thetao,W30p0,8,9,17,-0.42803728171537747,0.42803728171537747
thetao,W10p0,8,9,21,0.4214890964649123,0.4214890964649123
so,W30p0,0,1,4,0.415614731524508,0.415614731524508
thetao,W10p0,8,9,20,0.4153840053355226,0.4153840053355226
thetao,W30p0,8,9,15,-0.41398248263777543,0.41398248263777543
so,W60p0,0,1,4,0.41100252015606553,0.41100252015606553
so,W60p0,0,1,6,0.40943131833789653,0.40943131833789653
so,W20p0,0,1,1,0.40721776430118606,0.40721776430118606
thetao,W60p0,3,4,21,-0.4057557317630086,0.4057557317630086
thetao,W40p0,2,3,0,-0.40487338758650804,0.40487338758650804
so,W10p0,4,5,14,0.40422738756689863,0.40422738756689863
thetao,W10p0,7,8,3,-0.4042108568161149,0.4042108568161149
thetao,W60p0,3,4,22,-0.40299921170317066,0.40299921170317066
so,W20p0,0,1,3,0.40282810575027334,0.40282810575027334
so,W20p0,0,1,2,0.4016364222705531,0.4016364222705531
so,W30p0,0,1,5,0.3990406238791297,0.3990406238791297
thetao,W10p0,7,8,1,-0.39876946574750055,0.39876946574750055
so,W60p0,0,1,5,0.39764309396775765,0.39764309396775765
so,W30p0,0,1,0,0.3955859460236208,0.3955859460236208
