lag,W10p0,W20p0,W30p0,W40p0,W60p0
0,0.052133928210196245,0.0534698120172834,0.06488449017342646,0.0904223383840872,0.10071755889578071
1,0.07166383401431631,0.04407565871588304,0.04916584020247683,0.05810612656205194,0.05621065286686644
2,0.031789109081728384,0.049914791095943656,0.0501583457516972,0.03287412575809867,0.06372776100761257
3,0.05739437686861493,0.062346679536858574,0.04710753436665982,0.04158413692721297,0.06860032113036141
4,0.03827554070767292,0.03447731090091111,0.029984528075146955,0.03156485587533098,0.038704456223058514
5,0.024637777572934283,0.0450181738124229,0.052479832476819865,0.051971635039080866,0.03538632841264189
6,0.05696316374815069,0.029438317331369035,0.037826969419256784,0.05594465506146662,0.04906516073970124
7,0.058707109124952694,0.03637085102855053,0.04810831013310235,0.044723293744027615,0.05864074028613686
8,0.05566446722514229,0.05104124184072134,0.03755109644407639,0.04287712263248977,0.05275749867178092
9,0.055005684198476956,0.059817206112711574,0.04502038552163867,0.03481794587241893,0.047823606480960734
