lag,thetao_W10p0,thetao_W20p0,thetao_W30p0,thetao_W40p0,thetao_W60p0,so_W10p0,so_W20p0,so_W30p0,so_W40p0,so_W60p0
0,0.023602800004255187,0.03112574780243449,0.02777363217319362,0.039786565175745636,0.03077838414822054,0.02853112820594106,0.022344064214848913,0.03711085800023284,0.05063577320834156,0.06993917474756017
1,0.04114624916110188,0.02178621852362994,0.02016440429724753,0.019610610681411345,0.03464265150250867,0.03051758485321443,0.022289440192253096,0.0290014359052293,0.038495515880640596,0.02156800136435777
2,0.01863495394354686,0.027049605050706305,0.022650673345196992,0.009787490729650017,0.025339563842862844,0.013154155138181522,0.02286518604523735,0.027507672406500205,0.023086635028448654,0.03838819716474973
3,0.0221726231102366,0.03311991531518288,0.018785163934808224,0.01815274017280899,0.02119596570264548,0.03522175375837833,0.029226764221675694,0.028322370431851596,0.023431396754403977,0.04740435542771593
4,0.017735890083713457,0.02104049138688424,0.015020359700429253,0.008227972764871083,0.014903190211043693,0.02053965062395946,0.013436819514026865,0.014964168374717701,0.023336883110459894,0.02380126601201482
5,0.012523346144007519,0.025931719690561295,0.027951377371209674,0.025710575180710293,0.011375356021744665,0.012114431428926764,0.019086454121861607,0.024528455105610192,0.026261059858370572,0.024010972390897223
6,0.029895484447479248,0.012418111524311826,0.017245089082280174,0.015179379697656259,0.021463032870087773,0.027067679300671443,0.01702020580705721,0.02058188033697661,0.04076527536381036,0.02760212786961347
7,0.018165843066526577,0.01768853745306842,0.018565336693427525,0.013488175754901022,0.022295643049801583,0.04054126605842612,0.018682313575482112,0.029542973439674824,0.031235117989126593,0.03634509723633528
8,0.01492936351132812,0.02876603521872312,0.01201857970590936,0.016754552361817332,0.01899702724767849,0.04073510371381417,0.022275206621998223,0.025532516738167033,0.02612257027067244,0.033760471424102434
9,0.02478306434386468,0.023592054361870396,0.015545640715572517,0.01052987209368439,0.01864242006558925,0.030222619854612276,0.03622515175084118,0.029474744806066155,0.024288073778734542,0.029181186415371485
