lag,global_score,top_lon,top_lon_share,top_var,top_var_share,top1_varlon,top1_share,top2_varlon,top2_share,top3_varlon,top3_share
0,0.361628127680774,W60p0,0.27851140767647586,so,0.5767278107333261,so_W60p0,0.1934008153516718,so_W40p0,0.1400216668241031,thetao_W40p0,0.11002065970616945
1,0.27922211236159455,W10p0,0.2566552964168939,so,0.5080972169280419,thetao_W10p0,0.14736028179536584,so_W40p0,0.13786700327941306,thetao_W60p0,0.12406843859717742
3,0.2770330488297077,W60p0,0.24762504481019537,so,0.5905672311847334,so_W60p0,0.17111444150064348,so_W10p0,0.1271391767414333,thetao_W20p0,0.11955221752456582
7,0.24655030431677005,W10p0,0.2381141215284215,so,0.6341373973652419,so_W10p0,0.16443405401900593,so_W60p0,0.14741453001671728,so_W40p0,0.1266886207083948
9,0.24248482818620687,W20p0,0.24668432478908436,so,0.616087108307271,so_W20p0,0.14939141562713965,so_W10p0,0.12463715804686956,so_W30p0,0.12155294426681476
8,0.23989142681421072,W10p0,0.23204025239406692,so,0.6187210220051175,so_W10p0,0.1698064172395889,so_W60p0,0.14073229657452072,thetao_W20p0,0.1199127271897116
6,0.22923826629994437,W10p0,0.24848889614972852,so,0.5803445071603274,so_W40p0,0.17782927790280645,thetao_W10p0,0.1304122777144145,so_W60p0,0.12040802923146242
2,0.22846413269508048,W60p0,0.27893989422255083,so,0.5471399134233079,so_W60p0,0.16802723785087312,so_W30p0,0.1204025860952682,thetao_W20p0,0.11839760023429168
5,0.2094937473138998,W30p0,0.25050787028113775,so,0.5059882419633114,thetao_W30p0,0.13342344451611762,so_W40p0,0.1253548623531074,thetao_W20p0,0.12378278599268122
4,0.17300669178212047,W60p0,0.22371652694106056,so,0.5553472333670049,so_W60p0,0.13757425083874464,so_W40p0,0.13489006043679325,thetao_W20p0,0.12161663326515726
