var,lon_tag,mode,lag,corr,abs_corr
so,W30p0,1,0,-0.9571348632857523,0.9571348632857523
so,W20p0,1,0,-0.9511603533012133,0.9511603533012133
so,W30p0,1,1,-0.9493013030380679,0.9493013030380679
so,W30p0,1,2,-0.9457372090532419,0.9457372090532419
so,W20p0,1,1,-0.9435424288626458,0.9435424288626458
so,W30p0,1,3,-0.9421051183341036,0.9421051183341036
so,W60p0,1,0,-0.9401051013606613,0.9401051013606613
so,W20p0,1,2,-0.9393919735278801,0.9393919735278801
so,W20p0,1,3,-0.9362953260087299,0.9362953260087299
so,W30p0,1,4,-0.9328093371459261,0.9328093371459261
so,W60p0,1,1,-0.9291175045513442,0.9291175045513442
so,W20p0,1,4,-0.9281899914728863,0.9281899914728863
so,W10p0,1,7,-0.924373726990402,0.924373726990402
so,W30p0,1,5,-0.9239236305442795,0.9239236305442795
so,W10p0,1,2,-0.9230960821195636,0.9230960821195636
so,W10p0,1,3,-0.923094478111078,0.923094478111078
thetao,W60p0,1,0,-0.9223933931810716,0.9223933931810716
so,W10p0,1,8,-0.9219361907905562,0.9219361907905562
so,W20p0,1,5,-0.9216247114848373,0.9216247114848373
so,W10p0,1,4,-0.9210241676766533,0.9210241676766533
so,W10p0,1,6,-0.9209358083338046,0.9209358083338046
so,W40p0,1,0,-0.9203447051858658,0.9203447051858658
so,W10p0,1,1,-0.9188799298532179,0.9188799298532179
so,W10p0,1,9,-0.9185346624534856,0.9185346624534856
so,W10p0,1,5,-0.9182319636034952,0.9182319636034952
so,W10p0,1,10,-0.9181690740663471,0.9181690740663471
so,W60p0,1,2,-0.9180884127926535,0.9180884127926535
so,W40p0,1,2,-0.9156004336600547,0.9156004336600547
so,W40p0,1,1,-0.9135551168438013,0.9135551168438013
so,W20p0,1,6,-0.913543241513748,0.913543241513748
so,W60p0,1,3,-0.9131117131825899,0.9131117131825899
so,W30p0,1,6,-0.9125926427046314,0.9125926427046314
thetao,W60p0,1,1,-0.9118203983313482,0.9118203983313482
so,W10p0,1,11,-0.9108351060661819,0.9108351060661819
so,W10p0,1,0,-0.9105645651482037,0.9105645651482037
so,W10p0,1,12,-0.9089152441298017,0.9089152441298017
thetao,W20p0,2,0,-0.907896956129208,0.907896956129208
so,W40p0,1,3,-0.9074684205178986,0.9074684205178986
so,W30p0,1,7,-0.9067381878829804,0.9067381878829804
so,W20p0,1,7,-0.9053503391734459,0.9053503391734459
thetao,W20p0,2,3,-0.9041246405441066,0.9041246405441066
thetao,W20p0,2,1,-0.9039295057870246,0.9039295057870246
thetao,W40p0,2,6,-0.903828707586887,0.903828707586887
so,W10p0,1,13,-0.9036684005805853,0.9036684005805853
so,W60p0,1,4,-0.903075305847382,0.903075305847382
thetao,W20p0,2,4,-0.9028724095307438,0.9028724095307438
thetao,W20p0,2,2,-0.9027425962824683,0.9027425962824683
thetao,W40p0,2,8,-0.8995813061359432,0.8995813061359432
so,W30p0,1,8,-0.8991460318296352,0.8991460318296352
