n_features,post_r2,delta_r2
1,0.8995180013306592,
2,0.9004851673719109,0.000967166041251688
3,0.903707217022035,0.0032220496501241813
4,0.9050558900050851,0.001348672983050081
5,0.9093460056629018,0.004290115657816673
6,0.9091061858480824,-0.0002398198148193531
7,0.9355409578098807,0.02643477196179822
8,0.9412307546288428,0.0056897968189620896
9,0.9405587031359234,-0.0006720514929193788
10,0.9415976215210193,0.001038918385095955
11,0.9452222702237794,0.003624648702760025
12,0.9451055158725181,-0.00011675435126123901
13,0.9470606122908397,0.001955096418321589
14,0.9490085051496651,0.0019478928588253508
15,0.9539523785423613,0.004943873392696196
16,0.9553723673182611,0.001419988775899883
17,0.9565814522123709,0.0012090848941097576
18,0.9589742521166815,0.0023927999043106274
19,0.9594306816321535,0.00045642951547197885
20,0.9594470759428382,1.639431068467534e-05
21,0.9594884148219665,4.1338879128272055e-05
22,0.9598587548547932,0.00037034003282676586
23,0.9610147620848364,0.0011560072300431656
24,0.9617859653405819,0.0007712032557455339
25,0.9680043205300868,0.006218355189504865
26,0.9677882950216019,-0.0002160255084848739
27,0.9677546531213252,-3.36419002766597e-05
28,0.967712590743257,-4.206237806825275e-05
29,0.9678185988361779,0.00010600809292093949
30,0.970159442701395,0.002340843865217046
31,0.9703898831783901,0.000230440476995164
32,0.9703828252108821,-7.057967507995144e-06
33,0.9705406220125441,0.00015779680166194687
34,0.9743953375971908,0.003854715584646673
35,0.9744225829063282,2.7245309137446938e-05
36,0.9783989854473827,0.003976402541054469
37,0.9784517555307177,5.277008333504085e-05
38,0.978572572346266,0.00012081681554831913
39,0.978748700431248,0.00017612808498190802
40,0.9806764497637142,0.0019277493324661998
41,0.9812950432691109,0.0006185935053967251
42,0.982582023520884,0.0012869802517730955
43,0.9833265499380414,0.0007445264171573873
44,0.9834097462818063,8.319634376496854e-05
45,0.9834297837881986,2.0037506392234228e-05
46,0.983421090718835,-8.693069363574502e-06
47,0.9850669619095278,0.0016458711906928158
48,0.985333113941764,0.0002661520322362332
49,0.9862664394016072,0.0009333254598431484
50,0.98636499667979,9.855727818286475e-05
51,0.9864505450318348,8.554835204477307e-05
52,0.9864781523973722,2.7607365537418715e-05
53,0.9865442928717226,6.614047435038461e-05
54,0.9866368371579725,9.254428624982936e-05
55,0.9870554102195132,0.0004185730615406946
56,0.9872230279030093,0.00016761768349615735
57,0.9881900945583837,0.0009670666553743823
58,0.9883278969465049,0.00013780238812122203
59,0.9898150638453267,0.001487166898821779
60,0.9898008472630837,-1.4216582242987386e-05
