var,lon,mode,lag
so,W10p0,1,0
so,W10p0,1,1
so,W10p0,1,2
so,W10p0,1,3
so,W10p0,1,4
so,W10p0,1,5
so,W10p0,1,6
so,W10p0,1,7
so,W10p0,1,8
so,W10p0,1,9
so,W10p0,1,10
so,W10p0,1,11
so,W10p0,1,12
so,W20p0,1,0
so,W20p0,1,1
so,W20p0,1,2
so,W20p0,1,3
so,W20p0,1,4
so,W20p0,1,5
so,W20p0,1,6
so,W20p0,1,7
so,W20p0,1,8
so,W30p0,1,0
so,W30p0,1,1
so,W30p0,1,2
so,W30p0,1,3
so,W30p0,1,4
so,W30p0,1,5
so,W30p0,1,6
so,W30p0,1,7
so,W40p0,1,0
so,W40p0,1,1
so,W40p0,1,2
so,W40p0,1,3
so,W40p0,1,4
so,W60p0,1,0
so,W60p0,1,1
so,W60p0,1,2
so,W60p0,1,3
so,W60p0,1,4
thetao,W60p0,1,0
thetao,W60p0,1,1
thetao,W60p0,1,2
