k,r2_test,corr_test,subset_idx,subset_features,candidate_source,candidate_method
1,0.8390184027981431,0.9554497606735594,4,thetao W10p0 EOF2 lag2,spike_curve_post.csv,top_delta
2,0.9067720266746992,0.9660236642425869,"4,8",thetao W10p0 EOF2 lag2 | thetao W10p0 EOF2 lag6,spike_curve_post.csv,top_delta
3,0.9116359559255879,0.9639846544815276,"2,4,8",thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag2 | thetao W10p0 EOF2 lag6,spike_curve_post.csv,top_delta
4,0.9120586745603203,0.96429266605884,"2,3,4,8",thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | thetao W10p0 EOF2 lag6,spike_curve_post.csv,top_delta
5,0.8586853312034172,0.9667348885746356,"2,3,4,8,9",thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | thetao W10p0 EOF2 lag6 | so W30p0 EOF1 lag0,spike_curve_post.csv,top_delta
6,0.83121761468335,0.9694620645208376,"2,3,4,5,8,9",thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | so W10p0 EOF1 lag1 | thetao W10p0 EOF2 lag6 | so W30p0 EOF1 lag0,spike_curve_post.csv,top_delta
7,0.7833290111985018,0.9681593678925929,"2,3,4,5,6,8,9",thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | so W10p0 EOF1 lag1 | thetao W30p0 EOF2 lag1 | thetao W10p0 EOF2 lag6 | so W30p0 EOF1 lag0,spike_curve_post.csv,top_delta
8,0.7638684697398508,0.9661732698937766,"0,2,3,4,5,6,8,9",thetao W40p0 EOF2 lag1 | thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | so W10p0 EOF1 lag1 | thetao W30p0 EOF2 lag1 | thetao W10p0 EOF2 lag6 | so W30p0 EOF1 lag0,spike_curve_post.csv,top_delta
9,0.7408671374593394,0.9648874479904864,"0,1,2,3,4,5,6,8,9",thetao W40p0 EOF2 lag1 | thetao W40p0 EOF2 lag2 | thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | so W10p0 EOF1 lag1 | thetao W30p0 EOF2 lag1 | thetao W10p0 EOF2 lag6 | so W30p0 EOF1 lag0,spike_curve_post.csv,top_delta
10,0.714702256891596,0.9670933788146939,"0,1,2,3,4,5,6,7,8,9",thetao W40p0 EOF2 lag1 | thetao W40p0 EOF2 lag2 | thetao W10p0 EOF2 lag4 | thetao W10p0 EOF2 lag3 | thetao W10p0 EOF2 lag2 | so W10p0 EOF1 lag1 | thetao W30p0 EOF2 lag1 | thetao W40p0 EOF2 lag3 | thetao W10p0 EOF2 lag6 | so W30p0 EOF1 lag0,spike_curve_post.csv,top_delta
