n,feature,score,curve_r2
5,thetao W10p0 EOF2 lag4,0.091861598434208,0.8785312723902987
3,thetao W40p0 EOF2 lag2,0.0334897323139835,0.7898953891153893
7,thetao W10p0 EOF2 lag2,0.0223339680222347,0.9095927370850754
2,thetao W40p0 EOF2 lag1,0.0162950756399062,0.7564056568014057
11,thetao W40p0 EOF2 lag3,0.0136586052504117,0.9452390273778676
8,so W10p0 EOF1 lag1,0.011809363743824,0.9214021008288994
10,thetao W30p0 EOF2 lag1,0.0096317337099774,0.9315804221274558
6,thetao W10p0 EOF2 lag3,0.0087274966725419,0.8872587690628406
23,so W30p0 EOF1 lag0,0.0034912724568609,0.964037704440089
17,thetao W10p0 EOF2 lag6,0.0032980210422418,0.9564567539951404
