alpha,mean_cv_r2,std_cv_r2
3.0,-5.604269070131193,6.549098530314089
4.0,-5.663353805682113,6.397711520217123
5.0,-5.792633165848785,6.352987761255704
1.0,-6.0803711500577045,7.708153472359496
10.0,-6.807324624927992,6.715084210755075
0.3,-6.9207737968478895,9.042121705523188
0.1,-7.390323346643821,9.733035542350484
0.03,-7.60197390520185,10.038446202450423
30.0,-11.148870097625839,8.979004654816968
40.0,-12.979709589939354,9.904568189502118
50.0,-14.595151190294338,10.729338172578645
60.0,-16.02545221205663,11.480391335824832
70.0,-17.297828190026667,12.172824268714168
100.0,-20.38008136884449,13.972332874016193
