n_features,post_r2,post_r2_std,delta_r2
1,-9.740341701667743,7.802344077086759,
2,-10.50880112217032,10.983599153181412,-0.7684594205025768
3,-8.207481373982187,8.733361879559652,2.301319748188133
4,-12.953872200567767,14.816395456877355,-4.74639082658558
5,-5.604269070131193,6.549098530314089,7.3496031304365745
6,-5.28339367039943,6.273325748600898,0.3208753997317624
7,-4.504419840140964,5.5213672309951765,0.7789738302584661
8,-3.2925101131458434,4.01499020295103,1.211909726995121
9,-4.416448455788476,5.510884048405414,-1.1239383426426328
10,-5.040540479486548,7.290767652115608,-0.624092023698072
11,-4.033952281338124,6.426156820969261,1.0065881981484246
12,-3.792485849008172,6.091460329218783,0.2414664323299518
13,-3.2226252504259403,4.998633457157679,0.5698605985822316
14,-2.9857298819102946,4.7665462097793005,0.23689536851564563
15,-2.9009603650089253,4.639604701505516,0.08476951690136936
16,-2.4670448695614784,4.143092364973008,0.4339154954474469
17,-1.8385284363340866,3.0077462488073228,0.6285164332273918
18,-1.81778425092741,2.856246434635118,0.020744185406676552
19,-1.9616997799085905,2.6756182678164366,-0.14391552898118043
20,-1.8457064224040458,2.4980842006921664,0.11599335750454465
21,-2.0949173134332257,1.839748768568273,-0.24921089102917993
22,-2.0009732697169653,1.9571860982867775,0.09394404371626042
23,-2.040172237466538,3.0226203862046233,-0.039198967749572766
24,-3.1690729473854957,2.5367028723959475,-1.1289007099189576
25,-3.412213250141249,2.7276618992549517,-0.24314030275575327
26,-3.9313186474578217,3.0384787507423137,-0.5191053973165727
27,-2.999632914669835,2.7393198132556513,0.9316857327879866
28,-2.70166835353847,3.068532433487199,0.29796456113136527
29,-2.280766451755112,2.200874005342423,0.42090190178335796
30,-2.2562642819618124,2.247650670693511,0.024502169793299444
31,-2.758675726697654,2.2384615943271,-0.5024114447358414
32,-3.11771584893372,2.4352235976039016,-0.35904012223606596
33,-2.519948087022794,2.192361217695294,0.5977677619109256
34,-2.3710905571044396,2.181936017514625,0.14885752991835455
35,-2.595268159966047,2.3795592668642915,-0.22417760286160737
36,-2.150210045296036,2.216241594394742,0.4450581146700108
37,-1.9621717583795686,1.8512095326256766,0.18803828691646762
38,-1.842017456461992,1.6353328706110297,0.12015430191757659
39,-1.9399529792944576,1.8501601382256476,-0.09793552283246565
40,-2.310118730892404,2.050226666772659,-0.3701657515979464
41,-1.9030318248876945,1.7180791128604929,0.40708690600470954
42,-1.4980116912332873,1.3484034257050133,0.40502013365440726
43,-1.4491849082630168,1.3265752127460821,0.04882678297027043
44,-1.3849427543610284,1.3102771870268417,0.0642421539019884
45,-2.6132396836529144,2.1836638790187677,-1.228296929291886
46,-2.5749420664284832,2.1000583455264032,0.038297617224431146
47,-2.103991844415448,1.8206916999114549,0.47095022201303527
48,-2.1481458266207567,1.8485113741899846,-0.04415398220530875
49,-1.6862177079129606,1.6980909762639642,0.46192811870779615
50,-1.6927025260055784,1.7130118832304808,-0.006484818092617806
51,-1.6967357219950614,1.7232391028812106,-0.0040331959894830405
52,-1.5596594403367166,1.6142960908947146,0.13707628165834485
53,-2.271529434574928,2.437044200643957,-0.7118699942382116
54,-2.0486409012642692,2.1255246012683138,0.22288853331065894
55,-1.8789615166650542,1.9103788507189015,0.16967938459921506
56,-2.114724749133472,1.9363032930837527,-0.2357632324684178
57,-2.156023690198179,1.971711408954193,-0.041298941064706884
58,-2.077903602958093,1.75976250887844,0.07812008724008601
59,-1.5340620275054333,1.4300384911451813,0.5438415754526595
60,-1.5695189671921328,1.4193905894521333,-0.035456939686699496
