alpha,mean_cv_r2,std_cv_r2,n_folds_used
4.0,-8.073123712712025,4.85527021848855,3
5.0,-8.075161952896451,4.914349788092978,3
3.0,-8.12197093192849,4.8283824635595645,3
1.0,-8.469050206605061,4.920553743603608,3
10.0,-8.504820341031241,5.465939015881177,3
0.3,-8.7258349647295,5.0202386892449455,3
0.1,-8.820411289957711,5.05723544761983,3
0.03,-8.856260592780249,5.071142653382913,3
0.01,-8.866783630377455,5.075208226709561,3
30.0,-11.788021966048015,8.138733204998603,3
40.0,-13.39279531724687,9.244618448486463,3
50.0,-14.854694645964662,10.210857422393534,3
60.0,-16.174490745879172,11.06810666456348,3
70.0,-17.36437211881502,11.838645779336073,3
100.0,-20.295853956406884,13.76641034352056,3
300.0,-28.96497943390663,20.093315398002808,3
