var,mode,lag,corr,abs_corr
so,3,1,-0.7613353286086227,0.7613353286086227
so,3,2,-0.743287923359287,0.743287923359287
thetao,3,10,-0.73789461140764,0.73789461140764
so,3,0,-0.7367227886989394,0.7367227886989394
thetao,3,11,-0.7349123933352941,0.7349123933352941
thetao,3,8,-0.7305811569896813,0.7305811569896813
thetao,3,9,-0.7305454592205908,0.7305454592205908
thetao,3,7,-0.7237323472481045,0.7237323472481045
thetao,3,12,-0.7222211716652474,0.7222211716652474
thetao,3,5,-0.7178416118735266,0.7178416118735266
so,3,3,-0.7171760959759552,0.7171760959759552
thetao,3,4,-0.715787252539775,0.715787252539775
so,3,4,-0.7087344796120025,0.7087344796120025
thetao,3,6,-0.705970056707355,0.705970056707355
thetao,3,13,-0.7019814007426883,0.7019814007426883
thetao,3,3,-0.6875515256544306,0.6875515256544306
thetao,3,14,-0.682766081068521,0.682766081068521
so,3,5,-0.6771744083882931,0.6771744083882931
so,3,7,-0.6721462549940963,0.6721462549940963
so,3,6,-0.6629024759998072,0.6629024759998072
thetao,5,0,0.6588681119748264,0.6588681119748264
so,3,8,-0.6493544019667552,0.6493544019667552
so,7,20,-0.647395984876349,0.647395984876349
so,7,19,-0.645290528425431,0.645290528425431
thetao,3,15,-0.6435503149078663,0.6435503149078663
so,3,9,-0.6339804245813406,0.6339804245813406
thetao,3,2,-0.6330856800283621,0.6330856800283621
so,3,10,-0.6225436690981937,0.6225436690981937
thetao,3,16,-0.6214534417091115,0.6214534417091115
thetao,5,1,0.6148954418249953,0.6148954418249953
so,9,2,0.6066118776770549,0.6066118776770549
thetao,1,0,-0.6062644625548422,0.6062644625548422
so,3,11,-0.6020067806446225,0.6020067806446225
so,1,3,-0.5921767527858344,0.5921767527858344
so,7,18,-0.5910856658243441,0.5910856658243441
so,9,1,0.5869825836641457,0.5869825836641457
so,1,5,-0.5838703521639697,0.5838703521639697
so,1,4,-0.5826847114886635,0.5826847114886635
thetao,5,2,0.5804336867530675,0.5804336867530675
thetao,3,17,-0.5752870520684044,0.5752870520684044
so,9,3,0.5711538627599378,0.5711538627599378
so,1,2,-0.567910286171663,0.567910286171663
so,1,6,-0.5672235434354913,0.5672235434354913
so,3,12,-0.5640340826791924,0.5640340826791924
so,7,17,-0.5570019484672396,0.5570019484672396
so,8,20,-0.5566761960084231,0.5566761960084231
so,1,0,-0.5563188388962674,0.5563188388962674
thetao,3,1,-0.5524240008955936,0.5524240008955936
so,1,1,-0.5519214926673152,0.5519214926673152
so,9,4,0.5515440609390005,0.5515440609390005
thetao,1,1,-0.5502785236862079,0.5502785236862079
so,9,0,0.5489298129732745,0.5489298129732745
so,8,19,-0.5489131530373337,0.5489131530373337
thetao,2,3,0.5479896968274424,0.5479896968274424
thetao,2,2,0.5447036022709459,0.5447036022709459
so,1,7,-0.5410564827784041,0.5410564827784041
so,1,8,-0.5403604996314585,0.5403604996314585
so,7,16,-0.5388447730807376,0.5388447730807376
thetao,5,3,0.5379964727933407,0.5379964727933407
thetao,2,4,0.5356662189041167,0.5356662189041167
thetao,3,18,-0.5346210627212125,0.5346210627212125
thetao,2,5,0.5322753387728074,0.5322753387728074
thetao,5,4,0.5313147290975584,0.5313147290975584
thetao,6,19,0.5301521576054281,0.5301521576054281
so,3,13,-0.528942567223124,0.528942567223124
so,1,9,-0.528326350433076,0.528326350433076
thetao,1,3,-0.5277323795752278,0.5277323795752278
thetao,2,14,0.5270858381848091,0.5270858381848091
thetao,3,19,-0.5264654215213237,0.5264654215213237
thetao,2,13,0.5253719364181806,0.5253719364181806
so,1,10,-0.5241517948310842,0.5241517948310842
thetao,6,18,0.5224321068728065,0.5224321068728065
thetao,5,5,0.5216598426231729,0.5216598426231729
so,7,14,-0.5214741449641772,0.5214741449641772
so,1,11,-0.5214429958381402,0.5214429958381402
so,1,12,-0.5214381955055457,0.5214381955055457
thetao,2,15,0.5213317466756072,0.5213317466756072
thetao,2,6,0.5212403290780332,0.5212403290780332
thetao,6,20,0.5185107954355903,0.5185107954355903
so,1,18,-0.5183090129053887,0.5183090129053887
thetao,10,9,-0.5170046364939892,0.5170046364939892
so,1,13,-0.5163695346284755,0.5163695346284755
thetao,6,17,0.5152232365591399,0.5152232365591399
thetao,2,7,0.5135797580803287,0.5135797580803287
thetao,5,7,0.5126106940363853,0.5126106940363853
so,9,5,0.5122075636552565,0.5122075636552565
thetao,1,2,-0.5113204082188608,0.5113204082188608
so,1,14,-0.5107928783341842,0.5107928783341842
so,10,13,0.5105195102071384,0.5105195102071384
so,10,14,0.5103337087054071,0.5103337087054071
thetao,2,12,0.5100017657887179,0.5100017657887179
so,7,15,-0.5082258360126657,0.5082258360126657
thetao,10,8,-0.5076621251900549,0.5076621251900549
so,1,17,-0.5074752491587126,0.5074752491587126
so,7,13,-0.5067930576913771,0.5067930576913771
so,8,18,-0.5060070319931312,0.5060070319931312
thetao,6,16,0.5058016696151975,0.5058016696151975
thetao,2,8,0.5053422390463413,0.5053422390463413
so,1,15,-0.5052063472385123,0.5052063472385123
thetao,6,14,0.5037828787977428,0.5037828787977428
thetao,6,15,0.5029329604616191,0.5029329604616191
thetao,2,9,0.5008038538353046,0.5008038538353046
so,1,16,-0.5003433414417178,0.5003433414417178
so,1,20,-0.5003280450951523,0.5003280450951523
so,3,14,-0.5001959015834481,0.5001959015834481
thetao,1,4,-0.5000139266229104,0.5000139266229104
thetao,2,11,0.49944537684036805,0.49944537684036805
so,1,19,-0.4990087461227492,0.4990087461227492
so,10,15,0.4975900919436671,0.4975900919436671
thetao,5,6,0.49755771657981307,0.49755771657981307
thetao,5,8,0.49682261669220756,0.49682261669220756
so,6,8,0.49609415865248974,0.49609415865248974
thetao,3,20,-0.49059110963584973,0.49059110963584973
thetao,5,14,0.48944655472094645,0.48944655472094645
thetao,5,13,0.48833000071873583,0.48833000071873583
thetao,10,10,-0.48813474172247495,0.48813474172247495
so,9,6,0.48700819016546987,0.48700819016546987
thetao,2,10,0.4861198446770067,0.4861198446770067
thetao,1,5,-0.48512526052433474,0.48512526052433474
so,6,7,0.4839386925300374,0.4839386925300374
so,8,16,-0.48238846354395737,0.48238846354395737
thetao,10,4,-0.48226955812199335,0.48226955812199335
thetao,10,7,-0.476779364421387,0.476779364421387
thetao,6,1,0.4765055683495978,0.4765055683495978
thetao,2,16,0.4748514763536245,0.4748514763536245
so,3,15,-0.47313775652249934,0.47313775652249934
so,8,17,-0.4726216559417272,0.4726216559417272
thetao,6,0,0.4719969482338897,0.4719969482338897
thetao,5,10,0.4719899522145676,0.4719899522145676
thetao,5,12,0.47160939839584703,0.47160939839584703
so,6,9,0.4693761632853833,0.4693761632853833
so,10,12,0.4690956183244027,0.4690956183244027
thetao,5,15,0.46895263589489966,0.46895263589489966
thetao,3,0,-0.46811318346594494,0.46811318346594494
thetao,10,5,-0.4678387360440844,0.4678387360440844
so,10,16,0.4676899290271881,0.4676899290271881
thetao,1,6,-0.46665956499913164,0.46665956499913164
thetao,10,1,-0.4664605524683056,0.4664605524683056
thetao,6,2,0.46531732473760096,0.46531732473760096
thetao,5,9,0.4644433763281051,0.4644433763281051
thetao,5,11,0.4633290801280868,0.4633290801280868
so,9,7,0.46317567622222605,0.46317567622222605
thetao,6,13,0.46192077734570824,0.46192077734570824
thetao,10,0,-0.46072995925776083,0.46072995925776083
thetao,10,2,-0.4597952263080376,0.4597952263080376
so,6,2,0.45888161097040664,0.45888161097040664
so,7,12,-0.4568177966190556,0.4568177966190556
thetao,1,18,-0.45638349749779217,0.45638349749779217
thetao,10,6,-0.45500974945380224,0.45500974945380224
so,8,15,-0.45485891478320645,0.45485891478320645
thetao,10,11,-0.4544625870660426,0.4544625870660426
thetao,1,20,-0.4539895957575292,0.4539895957575292
so,9,8,0.45129174816191325,0.45129174816191325
thetao,10,3,-0.4508145694648117,0.4508145694648117
so,10,11,0.4507752312142629,0.4507752312142629
thetao,5,16,0.4496302899240769,0.4496302899240769
so,9,9,0.44673103882842496,0.44673103882842496
thetao,2,1,0.44497004338268226,0.44497004338268226
so,10,17,0.44323344180815216,0.44323344180815216
so,3,16,-0.44126220766058527,0.44126220766058527
thetao,6,12,0.44086710948106766,0.44086710948106766
so,10,1,0.44007547918291745,0.44007547918291745
thetao,1,12,-0.43521646073475245,0.43521646073475245
thetao,1,17,-0.4343479026065812,0.4343479026065812
thetao,2,17,0.43422389093251207,0.43422389093251207
so,10,10,0.4330489356624217,0.4330489356624217
so,6,1,0.4330386396491984,0.4330386396491984
so,10,9,0.43105029699584013,0.43105029699584013
thetao,1,13,-0.4306074639601007,0.4306074639601007
so,10,2,0.43058022565291765,0.43058022565291765
so,8,14,-0.4297994459420261,0.4297994459420261
thetao,1,15,-0.42913251554419635,0.42913251554419635
so,6,6,0.42881006747707184,0.42881006747707184
so,7,11,-0.4282981302152083,0.4282981302152083
thetao,1,11,-0.4277975531891751,0.4277975531891751
thetao,6,11,0.4264194184518616,0.4264194184518616
so,6,3,0.42590742364497747,0.42590742364497747
so,9,11,0.42509984494358727,0.42509984494358727
thetao,1,8,-0.4247821886800797,0.4247821886800797
thetao,2,18,0.4245387967587278,0.4245387967587278
thetao,1,7,-0.4238878108760627,0.4238878108760627
thetao,1,14,-0.42330973140429023,0.42330973140429023
thetao,1,19,-0.42301452110957677,0.42301452110957677
thetao,6,3,0.4183525861411043,0.4183525861411043
so,10,8,0.4179607336992159,0.4179607336992159
thetao,1,16,-0.4163635894937388,0.4163635894937388
so,10,0,0.41630193422405964,0.41630193422405964
thetao,1,9,-0.41420285641735904,0.41420285641735904
thetao,6,10,0.4137949906126908,0.4137949906126908
so,8,13,-0.41217913046783605,0.41217913046783605
thetao,6,7,0.41112907672389476,0.41112907672389476
so,10,18,0.4110402866464717,0.4110402866464717
so,10,4,0.4099587356551477,0.4099587356551477
so,9,10,0.4088406053495476,0.4088406053495476
thetao,2,20,0.4082926859263941,0.4082926859263941
thetao,2,19,0.40820746338541714,0.40820746338541714
so,10,7,0.4071541840157111,0.4071541840157111
thetao,1,10,-0.4069215976847125,0.4069215976847125
thetao,6,9,0.40606369383494184,0.40606369383494184
thetao,10,13,-0.40588470959468775,0.40588470959468775
thetao,6,8,0.40569915372125626,0.40569915372125626
so,6,10,0.4050705777738802,0.4050705777738802
so,10,6,0.40483276029369575,0.40483276029369575
so,3,19,-0.40466485739052865,0.40466485739052865
thetao,10,12,-0.40359999446979616,0.40359999446979616
thetao,6,6,0.4031571887239066,0.4031571887239066
thetao,6,4,0.4021357977133827,0.4021357977133827
so,6,4,0.4014682276470939,0.4014682276470939
so,3,17,-0.4003900607724575,0.4003900607724575
so,9,12,0.3990417140853703,0.3990417140853703
so,3,20,-0.3987149589511973,0.3987149589511973
so,10,3,0.39619020540963334,0.39619020540963334
thetao,6,5,0.39407033955750936,0.39407033955750936
so,6,5,0.3919993486139799,0.3919993486139799
thetao,10,14,-0.38980903673821765,0.38980903673821765
so,8,12,-0.3895617445308894,0.3895617445308894
so,10,5,0.38882182249758057,0.38882182249758057
so,8,9,-0.3838703198571887,0.3838703198571887
so,3,18,-0.38248367020272217,0.38248367020272217
so,10,19,0.3824083124701533,0.3824083124701533
thetao,5,17,0.3809890208391736,0.3809890208391736
so,6,0,0.3772317174073282,0.3772317174073282
so,8,10,-0.37641715549591703,0.37641715549591703
so,8,8,-0.37290262623620846,0.37290262623620846
thetao,10,15,-0.36454943087545094,0.36454943087545094
so,8,7,-0.3616327919444957,0.3616327919444957
thetao,5,18,0.3609270293269045,0.3609270293269045
thetao,5,19,0.36086326999333446,0.36086326999333446
so,8,11,-0.35691477628483026,0.35691477628483026
thetao,10,16,-0.3532821445159071,0.3532821445159071
so,6,11,0.3515497507396415,0.3515497507396415
so,7,10,-0.34962596597236373,0.34962596597236373
so,9,13,0.3491140300465688,0.3491140300465688
so,10,20,0.3411116121212862,0.3411116121212862
thetao,10,17,-0.34102087789626334,0.34102087789626334
so,9,15,0.3316748164189227,0.3316748164189227
so,9,14,0.3314437987897543,0.3314437987897543
so,9,16,0.33028552960193513,0.33028552960193513
so,9,17,0.32564759708132907,0.32564759708132907
thetao,5,20,0.3246304524003821,0.3246304524003821
so,5,0,-0.32358357677103855,0.32358357677103855
thetao,9,9,0.32108960895511773,0.32108960895511773
so,8,6,-0.31736118681242986,0.31736118681242986
thetao,4,0,-0.3142333088510142,0.3142333088510142
thetao,9,10,0.31332724023835784,0.31332724023835784
thetao,9,8,0.309720794621509,0.309720794621509
so,6,12,0.3061064337807819,0.3061064337807819
so,9,18,0.3032583077619417,0.3032583077619417
so,4,11,-0.30243217492376484,0.30243217492376484
so,4,10,-0.2992990583239679,0.2992990583239679
thetao,2,0,0.2917463942718488,0.2917463942718488
so,4,12,-0.28701466330291703,0.28701466330291703
so,6,13,0.2858080252747144,0.2858080252747144
thetao,9,7,0.28399402845626026,0.28399402845626026
so,4,16,-0.28177682975718205,0.28177682975718205
so,4,15,-0.28085496892587114,0.28085496892587114
so,4,14,-0.27981776264950137,0.27981776264950137
