n_features,post_r2,delta_r2
1,0.7970850884645961,
2,0.8838698620166937,0.08678477355209757
3,0.880502918065984,-0.0033669439507096888
4,0.888172807445952,0.007669889379967931
5,0.8876745627127736,-0.0004982447331783879
6,0.8891203360996646,0.0014457733868910028
7,0.8886629853873531,-0.0004573507123114551
8,0.8929149034215869,0.004251918034233748
9,0.8928320353863959,-8.286803519097496e-05
10,0.9284242261269086,0.035592190740512675
11,0.9275990935593399,-0.0008251325675686649
12,0.9377521620001766,0.010153068440836743
13,0.9375808817003728,-0.0001712802998038443
14,0.9394383988521006,0.0018575171517277722
15,0.9395012572541626,6.285840206199378e-05
16,0.9529961199161288,0.0134948626619662
17,0.9542592896001529,0.001263169684024179
18,0.9540536110639349,-0.00020567853621800136
19,0.9555969885542321,0.0015433774902972042
20,0.9563282069396744,0.0007312183854422116
21,0.9565629525723677,0.00023474563269332283
22,0.9577632660403881,0.0012003134680204086
23,0.9577327845414374,-3.0481498950685193e-05
24,0.9767576244768026,0.01902483993536519
25,0.9774243129298358,0.0006666884530331929
26,0.9779680904164229,0.0005437774865870715
27,0.9805960976297795,0.0026280072133566534
28,0.980559926917432,-3.617071234751634e-05
29,0.9804986422536877,-6.128466374433206e-05
30,0.9831362153490174,0.0026375730953297483
31,0.9826198468397911,-0.000516368509226317
32,0.9829503427231608,0.00033049588336975244
33,0.9828999654511552,-5.037727200563058e-05
34,0.9848097961952097,0.001909830744054486
35,0.9848598322035388,5.003600832909072e-05
36,0.9852757728234434,0.00041594061990457565
37,0.9853119323467625,3.615952331914585e-05
38,0.9853137629973643,1.830650601775119e-06
39,0.9853693608012669,5.559780390262947e-05
40,0.9864243661793747,0.001055005378107765
41,0.9901033429908783,0.0036789768115036425
42,0.9901158926256788,1.2549634800462783e-05
43,0.9903198435906359,0.000203950964957067
44,0.9903490681796928,2.9224589056964234e-05
45,0.9902799497306194,-6.911844907342424e-05
46,0.9903167956356971,3.6845905077687036e-05
47,0.9906535436070012,0.0003367479713041188
48,0.9915595245884583,0.0009059809814571107
49,0.9914683085159928,-9.121607246553864e-05
50,0.9923728335098189,0.0009045249938260946
51,0.9925264851080083,0.00015365159818947483
52,0.9925228029580536,-3.6821499547201597e-06
53,0.9929156279312008,0.0003928249731471878
54,0.9931127643923652,0.0001971364611643711
55,0.993027384603389,-8.537978897615872e-05
56,0.9930487397189457,2.135511555667602e-05
57,0.9931362756372534,8.75359183076796e-05
58,0.9938530281631188,0.0007167525258654495
59,0.9937891465423434,-6.388162077541892e-05
60,0.9938221226350389,3.29760926954803e-05
