var,lon_tag,mode,lag,corr,abs_corr
thetao,W40p0,2,0,-0.8711976790521112,0.8711976790521112
thetao,W40p0,2,1,-0.8626378019171067,0.8626378019171067
thetao,W40p0,2,2,-0.8562702606359172,0.8562702606359172
thetao,W30p0,2,2,-0.85401765468154,0.85401765468154
thetao,W10p0,2,4,-0.8508880012162358,0.8508880012162358
thetao,W10p0,2,3,-0.8489047090139044,0.8489047090139044
thetao,W10p0,2,2,-0.8488878839417187,0.8488878839417187
so,W10p0,1,1,-0.8464799053956299,0.8464799053956299
thetao,W30p0,2,3,-0.8460681312713381,0.8460681312713381
thetao,W30p0,2,1,-0.8459419984878823,0.8459419984878823
thetao,W40p0,2,3,-0.8451706717374449,0.8451706717374449
so,W10p0,1,0,-0.8441099239272949,0.8441099239272949
thetao,W10p0,2,5,-0.8428781117721624,0.8428781117721624
so,W10p0,1,2,-0.842035859022089,0.842035859022089
so,W10p0,1,3,-0.8366232068642359,0.8366232068642359
thetao,W10p0,2,1,-0.8342883235359912,0.8342883235359912
thetao,W10p0,2,6,-0.8295427873710903,0.8295427873710903
so,W10p0,1,4,-0.8285722447218441,0.8285722447218441
thetao,W40p0,2,4,-0.8259927638941568,0.8259927638941568
thetao,W30p0,2,4,-0.8229750099630434,0.8229750099630434
thetao,W10p0,2,7,-0.8180276535305322,0.8180276535305322
so,W10p0,1,5,-0.8171469505654264,0.8171469505654264
so,W30p0,1,0,-0.8169671929937232,0.8169671929937232
so,W20p0,1,0,-0.814025768216985,0.814025768216985
thetao,W20p0,2,1,-0.8096670993722199,0.8096670993722199
so,W10p0,1,6,-0.8093432438347239,0.8093432438347239
thetao,W30p0,2,0,-0.8093191659780202,0.8093191659780202
so,W30p0,1,1,-0.808302649663183,0.808302649663183
thetao,W20p0,2,0,-0.8074670803341771,0.8074670803341771
so,W10p0,1,7,-0.8055568220064585,0.8055568220064585
thetao,W40p0,2,5,-0.8034954550147846,0.8034954550147846
so,W20p0,1,1,-0.8020955613496132,0.8020955613496132
thetao,W20p0,2,2,-0.8010092466822734,0.8010092466822734
so,W30p0,1,2,-0.8004972432654985,0.8004972432654985
thetao,W10p0,2,8,-0.8001510041166299,0.8001510041166299
thetao,W20p0,2,3,-0.7969186163193305,0.7969186163193305
thetao,W30p0,2,5,-0.7964444009839371,0.7964444009839371
so,W10p0,1,8,-0.7942915908764074,0.7942915908764074
so,W20p0,1,2,-0.7924168394848964,0.7924168394848964
so,W30p0,1,3,-0.7922054534885802,0.7922054534885802
thetao,W30p0,5,7,-0.7917210668989021,0.7917210668989021
so,W10p0,1,9,-0.786832874957986,0.786832874957986
thetao,W20p0,2,4,-0.7853863537858191,0.7853863537858191
so,W20p0,1,3,-0.7847889778973007,0.7847889778973007
so,W60p0,5,0,0.7833931789699246,0.7833931789699246
thetao,W10p0,2,9,-0.7818817322906103,0.7818817322906103
so,W10p0,1,10,-0.7799949580539736,0.7799949580539736
so,W10p0,1,11,-0.7777145187987584,0.7777145187987584
thetao,W30p0,5,8,-0.7766197925824841,0.7766197925824841
thetao,W30p0,5,9,-0.775469327877107,0.775469327877107
so,W20p0,1,4,-0.7751561059252723,0.7751561059252723
thetao,W30p0,5,6,-0.7744681247884644,0.7744681247884644
so,W30p0,1,4,-0.7735918764034337,0.7735918764034337
thetao,W10p0,2,0,-0.7716267528001636,0.7716267528001636
thetao,W30p0,2,6,-0.7714620242298315,0.7714620242298315
thetao,W30p0,5,4,-0.7705064612295353,0.7705064612295353
thetao,W20p0,2,5,-0.7693204569654488,0.7693204569654488
so,W10p0,1,12,-0.7690918453902553,0.7690918453902553
thetao,W40p0,2,6,-0.768634572803716,0.768634572803716
thetao,W30p0,2,7,-0.7659380148634519,0.7659380148634519
thetao,W30p0,5,5,-0.7648277017844751,0.7648277017844751
so,W10p0,1,13,-0.7639506047542126,0.7639506047542126
so,W20p0,1,5,-0.7638763018705598,0.7638763018705598
so,W60p0,5,1,0.7623178258213332,0.7623178258213332
so,W60p0,1,0,-0.7585312310987462,0.7585312310987462
thetao,W10p0,2,10,-0.7583474136522339,0.7583474136522339
thetao,W40p0,2,7,-0.7554036542252095,0.7554036542252095
thetao,W30p0,5,10,-0.7550119331364372,0.7550119331364372
so,W10p0,1,14,-0.7547427140407891,0.7547427140407891
thetao,W20p0,2,6,-0.754058134831997,0.754058134831997
so,W40p0,1,2,-0.7532319553502221,0.7532319553502221
so,W30p0,1,5,-0.7531295613598485,0.7531295613598485
so,W40p0,1,1,-0.7529025655220165,0.7529025655220165
so,W40p0,1,0,-0.7524482103852929,0.7524482103852929
so,W20p0,1,6,-0.7521437370565773,0.7521437370565773
thetao,W30p0,2,8,-0.7501540542215152,0.7501540542215152
so,W40p0,1,3,-0.7478959750654615,0.7478959750654615
thetao,W30p0,5,2,-0.7464078031542055,0.7464078031542055
so,W10p0,1,15,-0.7438979983351922,0.7438979983351922
thetao,W40p0,2,8,-0.7428420509605111,0.7428420509605111
so,W60p0,1,1,-0.7402485648853017,0.7402485648853017
thetao,W30p0,5,3,-0.7400821790495389,0.7400821790495389
thetao,W60p0,1,3,-0.7395700690279154,0.7395700690279154
so,W20p0,1,7,-0.739554802971698,0.739554802971698
so,W30p0,3,13,0.7382575870352319,0.7382575870352319
thetao,W60p0,1,0,-0.7379588612433252,0.7379588612433252
thetao,W20p0,2,7,-0.7379321230844815,0.7379321230844815
so,W30p0,3,12,0.7366259248832596,0.7366259248832596
thetao,W10p0,2,11,-0.7352967463776028,0.7352967463776028
so,W30p0,1,6,-0.735128005701765,0.735128005701765
thetao,W60p0,1,4,-0.7344884807215061,0.7344884807215061
thetao,W60p0,1,2,-0.7337340918828515,0.7337340918828515
thetao,W30p0,2,9,-0.733732323191264,0.733732323191264
thetao,W60p0,1,1,-0.7325840178400553,0.7325840178400553
so,W60p0,1,2,-0.7321432812599217,0.7321432812599217
so,W10p0,1,16,-0.7314760629301479,0.7314760629301479
so,W60p0,5,2,0.7307709050444539,0.7307709050444539
thetao,W60p0,2,8,0.7294871485269343,0.7294871485269343
so,W60p0,1,3,-0.7283746079074254,0.7283746079074254
thetao,W60p0,2,7,0.7282357197699089,0.7282357197699089
thetao,W30p0,2,10,-0.727272594936518,0.727272594936518
thetao,W40p0,2,9,-0.7271181573980204,0.7271181573980204
thetao,W40p0,2,10,-0.7266928065989551,0.7266928065989551
so,W30p0,1,7,-0.726678456755491,0.726678456755491
so,W40p0,1,4,-0.7266744057613761,0.7266744057613761
thetao,W60p0,1,5,-0.7255204156319383,0.7255204156319383
thetao,W20p0,2,8,-0.7248283960004681,0.7248283960004681
thetao,W30p0,5,1,-0.7247747070559383,0.7247747070559383
thetao,W60p0,2,9,0.7238356720041627,0.7238356720041627
so,W20p0,1,8,-0.7227565795214788,0.7227565795214788
thetao,W30p0,5,11,-0.7226240735270635,0.7226240735270635
thetao,W30p0,2,11,-0.7220217121982012,0.7220217121982012
so,W60p0,5,3,0.7216651517806874,0.7216651517806874
so,W60p0,1,4,-0.72037131657581,0.72037131657581
so,W10p0,1,17,-0.7203150556758129,0.7203150556758129
thetao,W10p0,2,12,-0.7196714047713578,0.7196714047713578
so,W40p0,9,19,-0.7195177167255612,0.7195177167255612
so,W40p0,9,20,-0.7192273952390158,0.7192273952390158
so,W30p0,3,14,0.715971118982935,0.715971118982935
thetao,W60p0,1,6,-0.7146530529507363,0.7146530529507363
thetao,W20p0,2,11,-0.7139879645371735,0.7139879645371735
thetao,W20p0,2,9,-0.7133412592246394,0.7133412592246394
so,W30p0,1,8,-0.7130286017006594,0.7130286017006594
thetao,W40p0,2,11,-0.7129202484754398,0.7129202484754398
so,W30p0,3,11,0.712626130999827,0.712626130999827
thetao,W60p0,1,8,-0.7123062944349999,0.7123062944349999
thetao,W60p0,1,7,-0.7103304405456448,0.7103304405456448
thetao,W60p0,2,10,0.7102694356467234,0.7102694356467234
so,W10p0,1,18,-0.709959123566431,0.709959123566431
thetao,W20p0,2,10,-0.7094926574685215,0.7094926574685215
so,W60p0,1,5,-0.7082923427668258,0.7082923427668258
so,W20p0,1,9,-0.7080973777238342,0.7080973777238342
thetao,W30p0,2,12,-0.7074885342974931,0.7074885342974931
thetao,W10p0,2,13,-0.7059404526744478,0.7059404526744478
so,W40p0,1,5,-0.7058040528420422,0.7058040528420422
thetao,W60p0,2,6,0.7051669667889936,0.7051669667889936
thetao,W20p0,2,12,-0.7047725523213265,0.7047725523213265
thetao,W60p0,2,5,0.7000595671073776,0.7000595671073776
so,W60p0,5,4,0.6990894447814928,0.6990894447814928
thetao,W60p0,2,4,0.6988079792432926,0.6988079792432926
thetao,W30p0,5,0,-0.6983980070867986,0.6983980070867986
so,W60p0,1,6,-0.6980255865890868,0.6980255865890868
thetao,W60p0,1,9,-0.6978543630310551,0.6978543630310551
thetao,W60p0,2,3,0.6974607725674334,0.6974607725674334
thetao,W30p0,5,12,-0.696819491955096,0.696819491955096
thetao,W60p0,2,11,0.6967250549911195,0.6967250549911195
thetao,W30p0,2,13,-0.6967034519733577,0.6967034519733577
so,W30p0,1,9,-0.6965885177818572,0.6965885177818572
so,W20p0,1,10,-0.6961742745582815,0.6961742745582815
thetao,W30p0,2,14,-0.6960151574864504,0.6960151574864504
so,W10p0,1,19,-0.696000941729063,0.696000941729063
thetao,W20p0,2,13,-0.6955669396250057,0.6955669396250057
so,W60p0,1,7,-0.693646706280392,0.693646706280392
so,W30p0,3,10,0.69362431581751,0.69362431581751
so,W60p0,1,8,-0.6917683164482626,0.6917683164482626
so,W30p0,3,15,0.6904408860351259,0.6904408860351259
so,W20p0,1,11,-0.6889900811100929,0.6889900811100929
thetao,W20p0,2,14,-0.6880506189991266,0.6880506189991266
so,W40p0,9,18,-0.6869531025478792,0.6869531025478792
thetao,W60p0,1,10,-0.6863301275354212,0.6863301275354212
thetao,W10p0,1,0,-0.6857688969506668,0.6857688969506668
thetao,W40p0,2,12,-0.6854522938604869,0.6854522938604869
thetao,W60p0,2,2,0.683986492466425,0.683986492466425
so,W60p0,5,5,0.6824141880229316,0.6824141880229316
so,W40p0,1,6,-0.6811851330073438,0.6811851330073438
so,W30p0,1,10,-0.6791149295531669,0.6791149295531669
thetao,W20p0,2,15,-0.6785575834462781,0.6785575834462781
so,W10p0,1,20,-0.676355651715506,0.676355651715506
so,W60p0,1,9,-0.6761374730249364,0.6761374730249364
so,W30p0,3,9,0.6757800373564583,0.6757800373564583
thetao,W60p0,5,0,-0.6752584978857343,0.6752584978857343
so,W20p0,1,12,-0.6747669842390862,0.6747669842390862
thetao,W40p0,5,20,-0.6729622470208075,0.6729622470208075
thetao,W30p0,2,15,-0.6719370461630965,0.6719370461630965
so,W20p0,4,20,-0.6714821092107442,0.6714821092107442
so,W60p0,3,7,-0.6705997471995452,0.6705997471995452
thetao,W10p0,2,14,-0.6697125320340882,0.6697125320340882
thetao,W40p0,5,18,-0.6694713952468835,0.6694713952468835
