n_features,post_r2,delta_r2
1,0.025617330752582657,
2,0.025650007518104645,3.2676765521988393e-05
3,0.03430214091978734,0.008652133401682693
4,0.2925856666555383,0.258283525735751
5,0.5683658306501873,0.275780163994649
6,0.6332500905305375,0.06488425988035018
7,0.6336952849210922,0.0004451943905546818
8,0.6338593663413792,0.00016408142028701
9,0.6825411755053914,0.04868180916401221
10,0.6977152957263455,0.015174120220954102
11,0.8315362837177925,0.13382098799144704
12,0.8326356574436917,0.0010993737258991887
13,0.8942504947853093,0.061614837341617545
14,0.8969238240667968,0.0026733292814875576
15,0.9120375975019135,0.015113773435116662
16,0.9317935977404841,0.019756000238570603
17,0.9385637236451381,0.0067701259046539786
18,0.940618690800068,0.002054967154929921
19,0.9401171840488768,-0.0005015067511912052
20,0.9395546213130725,-0.0005625627358042395
21,0.9426152655159906,0.0030606442029180725
22,0.9441028464181024,0.0014875809021117625
23,0.9434149994840091,-0.0006878469340932947
24,0.9620681429078854,0.01865314342387636
25,0.9655618777000534,0.0034937347921679685
26,0.9667025995560381,0.0011407218559846832
27,0.9757576311893893,0.009055031633351196
28,0.9753562779509275,-0.00040135323846179904
29,0.979309714685369,0.0039534367344414845
30,0.9842018215526457,0.004892106867276702
31,0.9857287764134475,0.001526954860801788
32,0.9866137096234922,0.0008849332100446805
33,0.9866555203956824,4.181077219023166e-05
34,0.9874622952129236,0.0008067748172412292
35,0.9879620224415617,0.0004997272286381138
36,0.9908820733946558,0.002920050953094111
37,0.9907525946361486,-0.00012947875850721768
38,0.9918488939145702,0.0010962992784215864
39,0.991825427906817,-2.346600775315899e-05
40,0.9929837100426585,0.0011582821358414597
41,0.9941405387826088,0.0011568287399502664
42,0.9945420442303189,0.0004015054477101154
43,0.9948588365055376,0.00031679227521874687
44,0.9962628917230377,0.0014040552175000887
45,0.9963090653324566,4.617360941883142e-05
46,0.9968944673771182,0.0005854020446616204
47,0.9969677180005982,7.325062348007005e-05
48,0.9969481624693635,-1.955553123478282e-05
49,0.997952225849716,0.0010040633803525267
50,0.9980837675106228,0.00013154166090678654
51,0.9980881504244644,4.382913841638469e-06
52,0.9981017079335651,1.3557509100703413e-05
53,0.9979424093507374,-0.00015929858282770493
54,0.997972933120164,3.0523769426582525e-05
55,0.9979554981421194,-1.7434978044628124e-05
56,0.9979533111189035,-2.1870232158605063e-06
57,0.9979631382778001,9.82715889663588e-06
58,0.9982120094361463,0.00024887115834615336
59,0.9982790315301262,6.70220939799071e-05
60,0.9982833624955455,4.330965419296895e-06
