alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-14.004585217238935,15.295646870727667,3
100.0,-14.481121699147911,15.700640911061202,3
70.0,-14.901133183931563,15.828441916219015,3
60.0,-15.145442849221874,15.880889183472947,3
50.0,-15.489999122501752,15.942679502980981,3
40.0,-15.999744796267779,16.022927451854255,3
30.0,-16.807631392966684,16.14858611532812,3
10.0,-21.417380275582115,17.268129210164,3
5.0,-25.244021555677303,18.643874965987667,3
4.0,-26.528247637329468,19.150069219915647,3
3.0,-28.164376827835923,19.808795149962698,3
1.0,-33.54212208183596,22.001933711636312,3
0.3,-37.05296327359474,23.525552018280397,3
0.1,-38.49095189477786,24.240944943366397,3
0.03,-39.08295415560105,24.564153515128336,3
0.01,-39.263654827783945,24.666993403410025,3
