n,delta_r2,post_r2,var,lon_tag,mode,lag
7,0.0414700080970376,0.0795466288488369,so,W30p0,1,11
10,0.033895072276301175,0.11645558127434386,so,W20p0,1,20
11,0.0333545041094544,0.14981008538379825,so,W30p0,1,20
16,0.03266992912971112,0.1940140219709683,so,W30p0,1,10
18,0.029256090876798813,0.22471550393539352,so,W30p0,1,12
29,0.027067652459033642,0.3472312183815407,so,W20p0,1,0
30,0.02570572947016081,0.3729369478517015,so,W20p0,1,1
19,0.024692508255961476,0.249408012191355,so,W30p0,1,0
21,0.02148960948645462,0.2736789692602034,so,W20p0,1,7
52,0.021411937421592198,0.4655502784670382,so,W20p0,1,2
40,0.01563343251821203,0.40867348280972726,so,W30p0,1,13
27,0.015342441615055269,0.30988745324240086,so,W20p0,1,8
28,0.010276112680106197,0.32016356592250705,so,W20p0,1,9
