var,lon_tag,mode,lag,corr,abs_corr
thetao,W60p0,5,7,-0.5538226504428233,0.5538226504428233
thetao,W60p0,5,6,-0.5356798437615257,0.5356798437615257
thetao,W60p0,5,8,-0.5278637005111414,0.5278637005111414
so,W10p0,1,6,-0.5198636420981375,0.5198636420981375
so,W10p0,1,10,-0.5173957076596276,0.5173957076596276
so,W10p0,1,11,-0.5118581720371468,0.5118581720371468
so,W10p0,1,7,-0.5097660262983201,0.5097660262983201
so,W10p0,1,5,-0.5038292159144704,0.5038292159144704
so,W10p0,1,9,-0.5004364082276764,0.5004364082276764
so,W10p0,1,8,-0.4998446365678761,0.4998446365678761
thetao,W10p0,5,7,0.498712871760468,0.498712871760468
thetao,W10p0,5,6,0.49174559384007627,0.49174559384007627
so,W60p0,6,1,0.4900091743386437,0.4900091743386437
thetao,W20p0,2,13,-0.48660792689106147,0.48660792689106147
thetao,W60p0,5,5,-0.4863197822327643,0.4863197822327643
thetao,W30p0,5,6,-0.48501786010901315,0.48501786010901315
thetao,W60p0,5,9,-0.4849498273202386,0.4849498273202386
so,W60p0,6,0,0.48360521415919083,0.48360521415919083
thetao,W20p0,2,14,-0.4783056571348517,0.4783056571348517
thetao,W30p0,5,7,-0.47682513634493884,0.47682513634493884
thetao,W20p0,2,18,-0.47342906557199677,0.47342906557199677
so,W10p0,1,4,-0.47243534876906346,0.47243534876906346
so,W60p0,6,6,0.4723282193916447,0.4723282193916447
so,W10p0,1,12,-0.4707295758589875,0.4707295758589875
thetao,W60p0,1,4,-0.46986958896262765,0.46986958896262765
thetao,W20p0,2,11,-0.468432078522861,0.468432078522861
thetao,W20p0,2,10,-0.4679111324430387,0.4679111324430387
thetao,W30p0,5,5,-0.467854459010265,0.467854459010265
so,W10p0,1,3,-0.46495851931712934,0.46495851931712934
so,W10p0,1,1,-0.4637982328350504,0.4637982328350504
so,W10p0,1,13,-0.4630331025605791,0.4630331025605791
thetao,W20p0,2,4,-0.4626958371388574,0.4626958371388574
so,W60p0,6,2,0.46092849021681886,0.46092849021681886
thetao,W10p0,5,8,0.4600071439488712,0.4600071439488712
so,W10p0,1,2,-0.45948675284978224,0.45948675284978224
so,W10p0,1,0,-0.4590704121542173,0.4590704121542173
thetao,W60p0,1,5,-0.4571293027750111,0.4571293027750111
thetao,W30p0,5,4,-0.45269155984686854,0.45269155984686854
thetao,W20p0,2,0,-0.45209172686186444,0.45209172686186444
thetao,W20p0,2,9,-0.4516704685860433,0.4516704685860433
so,W60p0,6,5,0.45134094068720276,0.45134094068720276
thetao,W10p0,5,5,0.4499582021725332,0.4499582021725332
thetao,W60p0,1,0,-0.44989570482250074,0.44989570482250074
thetao,W30p0,5,3,-0.44612943454991244,0.44612943454991244
thetao,W20p0,2,1,-0.4444997731079699,0.4444997731079699
