alpha,mean_cv_r2,std_cv_r2
1.0,-0.9328535739575526,0.6983501942409001
0.3,-0.9969521007136786,0.7675432666544868
3.0,-1.0574189166292476,0.6477962789592683
0.1,-1.1219926383397232,0.7148561563451123
4.0,-1.157485233054475,0.6814377763249243
0.03,-1.2221308047878952,0.6453560562363826
0.01,-1.2622169034662403,0.6156953511753901
5.0,-1.2666925531915378,0.7312015388241715
10.0,-1.817315541307338,1.0455912581679214
30.0,-3.2090375638601665,2.022507459376634
40.0,-3.604849883091188,2.3458613401987285
50.0,-3.9053193855273833,2.605922336008498
60.0,-4.143688340800479,2.8211202741502266
70.0,-4.338873619018732,3.0030210795017833
100.0,-4.763164901691995,3.415106585563264
300.0,-5.758871612311793,4.458428557197227
