var,lon_tag,mode,lag,corr,abs_corr
thetao,W40p0,5,20,0.9049067465333183,0.9049067465333183
thetao,W30p0,6,20,0.8954146653101397,0.8954146653101397
thetao,W40p0,5,19,0.8928767257583254,0.8928767257583254
thetao,W10p0,6,11,-0.8840282572199651,0.8840282572199651
thetao,W10p0,6,12,-0.8836509931046925,0.8836509931046925
thetao,W10p0,6,10,-0.883534382981158,0.883534382981158
thetao,W40p0,5,18,0.8822658788713175,0.8822658788713175
thetao,W30p0,6,19,0.8809883459093705,0.8809883459093705
thetao,W10p0,6,13,-0.8795866380160109,0.8795866380160109
thetao,W10p0,6,14,-0.8785276488612798,0.8785276488612798
thetao,W10p0,6,15,-0.8759268812455233,0.8759268812455233
thetao,W20p0,6,20,-0.8736703407372418,0.8736703407372418
thetao,W10p0,6,9,-0.8734129802061152,0.8734129802061152
thetao,W30p0,6,18,0.871248901109984,0.871248901109984
thetao,W40p0,5,17,0.8703138685997749,0.8703138685997749
thetao,W60p0,6,17,0.8695699528527255,0.8695699528527255
thetao,W60p0,6,20,0.8686072671264893,0.8686072671264893
thetao,W30p0,2,19,-0.8673278639092026,0.8673278639092026
thetao,W30p0,2,20,-0.8663697680167338,0.8663697680167338
thetao,W10p0,6,16,-0.8660603045538172,0.8660603045538172
thetao,W60p0,6,16,0.865278164252975,0.865278164252975
thetao,W40p0,5,16,0.8648902349788417,0.8648902349788417
thetao,W60p0,6,18,0.8641405368368766,0.8641405368368766
thetao,W10p0,6,18,-0.8635944333994785,0.8635944333994785
thetao,W30p0,2,18,-0.8634042942233496,0.8634042942233496
thetao,W30p0,6,17,0.8616668775279928,0.8616668775279928
thetao,W10p0,6,17,-0.8609750239023755,0.8609750239023755
thetao,W60p0,6,15,0.8582989835410799,0.8582989835410799
thetao,W20p0,6,11,-0.8582940730456637,0.8582940730456637
thetao,W40p0,5,15,0.8567613636768587,0.8567613636768587
thetao,W60p0,6,19,0.8557090431286111,0.8557090431286111
thetao,W30p0,6,16,0.855217123144039,0.855217123144039
thetao,W20p0,6,12,-0.8551296502099575,0.8551296502099575
thetao,W30p0,2,17,-0.8551250308743875,0.8551250308743875
thetao,W60p0,6,11,0.8548835098217715,0.8548835098217715
thetao,W10p0,6,8,-0.8544615786664459,0.8544615786664459
thetao,W60p0,6,12,0.8544341528311494,0.8544341528311494
thetao,W20p0,6,10,-0.8535948966206753,0.8535948966206753
thetao,W20p0,6,19,-0.8532856874887121,0.8532856874887121
so,W40p0,2,8,0.8530814653193151,0.8530814653193151
so,W40p0,2,7,0.8528249332653494,0.8528249332653494
thetao,W20p0,6,15,-0.8515444369160322,0.8515444369160322
thetao,W30p0,6,15,0.8500770211972812,0.8500770211972812
thetao,W60p0,6,13,0.8499652217042931,0.8499652217042931
thetao,W20p0,6,16,-0.8495893547819963,0.8495893547819963
thetao,W60p0,6,10,0.8490594178524595,0.8490594178524595
thetao,W10p0,6,19,-0.8489267918616037,0.8489267918616037
thetao,W20p0,6,9,-0.8486482928143487,0.8486482928143487
thetao,W20p0,6,14,-0.8484894939303124,0.8484894939303124
thetao,W60p0,6,14,0.848016023319472,0.848016023319472
so,W40p0,2,9,0.8478177092794955,0.8478177092794955
thetao,W10p0,2,19,-0.8463379611313837,0.8463379611313837
thetao,W40p0,5,14,0.8463057872682742,0.8463057872682742
thetao,W30p0,2,16,-0.8458703584989691,0.8458703584989691
thetao,W20p0,6,13,-0.8454185806441445,0.8454185806441445
so,W40p0,2,6,0.845404054035651,0.845404054035651
so,W40p0,2,12,0.8441795096631066,0.8441795096631066
so,W40p0,2,10,0.8441080023513646,0.8441080023513646
thetao,W30p0,6,14,0.843962742996764,0.843962742996764
thetao,W10p0,2,20,-0.8438501542745727,0.8438501542745727
thetao,W20p0,6,18,-0.842370054296637,0.842370054296637
so,W10p0,6,20,0.8422121513638683,0.8422121513638683
thetao,W30p0,2,15,-0.8421074996282614,0.8421074996282614
thetao,W20p0,6,17,-0.8420739505929409,0.8420739505929409
thetao,W10p0,6,7,-0.842041322161514,0.842041322161514
so,W40p0,2,15,0.8416504082938008,0.8416504082938008
thetao,W10p0,2,18,-0.841603524837762,0.841603524837762
so,W40p0,2,11,0.8411059867246593,0.8411059867246593
thetao,W10p0,6,20,-0.8410638318114341,0.8410638318114341
so,W40p0,2,13,0.8407548555084016,0.8407548555084016
so,W40p0,2,14,0.8398727006822816,0.8398727006822816
thetao,W20p0,3,18,-0.839856500507453,0.839856500507453
thetao,W60p0,6,9,0.839561990802397,0.839561990802397
so,W10p0,6,19,0.8375089092289871,0.8375089092289871
so,W40p0,2,16,0.8370845159217102,0.8370845159217102
thetao,W30p0,2,14,-0.8369059720412334,0.8369059720412334
thetao,W40p0,5,13,0.8366073499480429,0.8366073499480429
so,W10p0,6,18,0.8364034119814213,0.8364034119814213
thetao,W20p0,3,19,-0.8341225795232298,0.8341225795232298
thetao,W40p0,2,10,-0.8339416271558174,0.8339416271558174
thetao,W20p0,6,8,-0.8331053412239725,0.8331053412239725
so,W40p0,2,17,0.8327201211431214,0.8327201211431214
so,W40p0,2,5,0.8325868949473256,0.8325868949473256
thetao,W30p0,6,13,0.832467601669895,0.832467601669895
thetao,W10p0,6,6,-0.832446102386105,0.832446102386105
thetao,W40p0,2,12,-0.8319146741233717,0.8319146741233717
thetao,W40p0,2,11,-0.8317787590371942,0.8317787590371942
thetao,W40p0,2,13,-0.8315090616951544,0.8315090616951544
thetao,W40p0,2,9,-0.831492756438145,0.831492756438145
thetao,W10p0,2,17,-0.8311436796038263,0.8311436796038263
thetao,W20p0,3,17,-0.8300829191651473,0.8300829191651473
thetao,W10p0,6,5,-0.8296465576870093,0.8296465576870093
thetao,W40p0,2,14,-0.8293036800830227,0.8293036800830227
thetao,W40p0,2,16,-0.8282334664184655,0.8282334664184655
