n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.17093455273927494,0.689934845755076,thetao,W30p0,6,20
50,0.0370246895591938,0.9635265552611718,thetao,W60p0,6,14
8,0.026082793623151024,0.7560341971850927,thetao,W30p0,6,19
18,0.023839984632629485,0.8211492497384758,thetao,W30p0,2,19
4,0.023746500347109234,0.720126673161535,thetao,W10p0,6,11
23,0.020017530235565628,0.8608445578737713,thetao,W60p0,6,18
26,0.016408963052488734,0.8909279924614197,thetao,W30p0,6,17
9,0.011449815891365844,0.7674840130764585,thetao,W10p0,6,13
24,0.01089484861592005,0.8717394064896914,thetao,W10p0,6,18
15,0.010434287936958553,0.7858431731691131,thetao,W40p0,5,17
