n_features,post_r2,delta_r2
1,0.5106152781335349,
2,0.5191407849492593,0.008525506815724393
3,0.522578970155666,0.0034381852064067076
4,0.5315005405196633,0.008921570363997322
5,0.7443445880786892,0.21284404755902586
6,0.7888495616844815,0.04450497360579231
7,0.7893447981862125,0.0004952365017310001
8,0.789308627664788,-3.61705214244612e-05
9,0.825886950502721,0.03657832283793294
10,0.8340066326541073,0.008119682151386365
11,0.8398428023765132,0.0058361697224058595
12,0.8571373348507845,0.017294532474271263
13,0.861588228007902,0.0044508931571175525
14,0.8620127539450627,0.0004245259371606913
15,0.8894830748477087,0.027470320902646006
16,0.8984035525217726,0.008920477674063898
17,0.8983991495685606,-4.402953212023775e-06
18,0.9004133295786743,0.002014180010113664
19,0.9011786913122433,0.0007653617335690033
20,0.9026693435340168,0.0014906522217735807
21,0.9040123198987612,0.0013429763647443416
22,0.9118514038571757,0.007839083958414483
23,0.9170627296187206,0.005211325761544927
24,0.9185196769397949,0.0014569473210742645
25,0.9193013567595297,0.0007816798197348707
26,0.9193688033960651,6.744663653535099e-05
27,0.9192766728109667,-9.213058509838223e-05
28,0.9276779702581316,0.00840129744716489
29,0.9277170070251803,3.903676704875014e-05
30,0.9294383472546195,0.00172134022943915
31,0.9381172412007547,0.008678893946135191
32,0.9375333304852572,-0.0005839107154974599
33,0.9374739308210223,-5.939966423496035e-05
34,0.9387515169837068,0.0012775861626845852
35,0.9388005684369685,4.9051453261617084e-05
36,0.9391247543200093,0.0003241858830408395
37,0.9391935268359443,6.877251593495615e-05
38,0.9392583925420604,6.486570611619058e-05
39,0.9393479274587466,8.953491668617364e-05
40,0.9378623328036754,-0.001485594655071254
41,0.9389145847986085,0.0010522519949330844
42,0.9414273323435299,0.0025127475449214787
43,0.9503649376233608,0.008937605279830896
44,0.9510188515717115,0.0006539139483506817
45,0.9509255224361234,-9.332913558812717e-05
46,0.9523347116437633,0.0014091892076398826
47,0.9522940838297833,-4.06278139799543e-05
48,0.9525272654248382,0.00023318159505492098
49,0.9529525084861953,0.00042524306135705014
50,0.9533651516100289,0.00041264312383360036
51,0.9532450977503225,-0.0001200538597063705
52,0.9532045112249143,-4.058652540817054e-05
53,0.9531008512227593,-0.00010366000215500382
54,0.9529796976402336,-0.00012115358252573483
55,0.9531163248946213,0.00013662725438767787
56,0.9552193357244931,0.002103010829871854
57,0.9585237935677094,0.003304457843216313
58,0.9585770941781427,5.330061043329337e-05
59,0.9635200128676662,0.004942918689523457
60,0.9635553979716133,3.538510394707206e-05
