alpha,mean_cv_r2,std_cv_r2
10.0,-0.9359090250073777,1.469731664170859
30.0,-1.654638944966048,1.0146974297848783
5.0,-1.6633956641981162,2.222303185735329
40.0,-2.0862659699281543,1.3829984894360532
4.0,-2.156153539655896,2.4882359978201536
50.0,-2.464339626384301,1.7242723281428594
60.0,-2.7932195948819434,2.0155878794754716
3.0,-2.980279514999728,2.9129027830357193
70.0,-3.0803074390491094,2.2627206149521597
100.0,-3.7536566179926987,2.8148021109404318
300.0,-5.52339122335583,4.113660388695073
1.0,-7.49528853979393,5.746661285952627
0.3,-12.372392335668211,9.532987904217261
0.1,-14.94487165421814,11.808173807505698
0.03,-16.105111784048315,12.899698239429778
0.01,-16.470007416981574,13.251252261064858
