var,lon_tag,mode,lag,corr,abs_corr
thetao,W60p0,2,0,-0.7449906874834125,0.7449906874834125
thetao,W20p0,9,4,-0.7353653357777146,0.7353653357777146
thetao,W10p0,2,18,-0.7346775586389076,0.7346775586389076
so,W30p0,1,5,-0.7312771035661635,0.7312771035661635
thetao,W10p0,2,19,-0.7295252139866302,0.7295252139866302
so,W60p0,1,10,0.7294370039922047,0.7294370039922047
thetao,W60p0,2,1,-0.7274586742885777,0.7274586742885777
so,W60p0,1,9,0.7203880629548192,0.7203880629548192
thetao,W20p0,2,1,-0.7203722363395968,0.7203722363395968
thetao,W10p0,2,17,-0.7166108963954262,0.7166108963954262
so,W60p0,1,4,0.7155018171776821,0.7155018171776821
thetao,W10p0,2,16,-0.7147227391751427,0.7147227391751427
thetao,W10p0,2,20,-0.7126674526618196,0.7126674526618196
so,W30p0,1,4,-0.7117370408000079,0.7117370408000079
so,W60p0,1,7,0.7108333314334303,0.7108333314334303
thetao,W20p0,9,5,-0.7106848067345893,0.7106848067345893
so,W30p0,1,6,-0.7102762703934751,0.7102762703934751
so,W60p0,1,6,0.7101705654749504,0.7101705654749504
thetao,W30p0,2,1,-0.7089459989286867,0.7089459989286867
so,W60p0,1,11,0.7049165986739695,0.7049165986739695
thetao,W20p0,2,2,-0.7032899831135514,0.7032899831135514
so,W10p0,5,18,-0.7023597028546895,0.7023597028546895
so,W60p0,1,3,0.7008909109736702,0.7008909109736702
thetao,W10p0,2,14,-0.7008001541641808,0.7008001541641808
thetao,W10p0,2,13,-0.6994384344140739,0.6994384344140739
thetao,W60p0,2,2,-0.6987621579523838,0.6987621579523838
so,W60p0,1,5,0.6976268398128262,0.6976268398128262
thetao,W10p0,2,15,-0.6975386270082734,0.6975386270082734
thetao,W20p0,9,3,-0.6970673872655649,0.6970673872655649
thetao,W20p0,9,7,-0.695597810485986,0.695597810485986
thetao,W10p0,1,18,-0.6941984792526606,0.6941984792526606
so,W30p0,1,7,-0.6932487738648525,0.6932487738648525
thetao,W10p0,1,19,-0.691888416728685,0.691888416728685
thetao,W10p0,1,17,-0.6898833805923092,0.6898833805923092
thetao,W10p0,1,16,-0.6873571963028545,0.6873571963028545
so,W60p0,1,8,0.6862620664360883,0.6862620664360883
thetao,W10p0,1,20,-0.6858265964192942,0.6858265964192942
so,W20p0,10,18,-0.6838852247309043,0.6838852247309043
so,W10p0,5,17,-0.6836107719983712,0.6836107719983712
thetao,W60p0,2,9,-0.6833471206310953,0.6833471206310953
thetao,W20p0,9,8,-0.6824761700301682,0.6824761700301682
so,W60p0,1,14,0.6822454192070958,0.6822454192070958
thetao,W20p0,9,6,-0.6818473000653017,0.6818473000653017
thetao,W10p0,2,5,-0.6816752601901488,0.6816752601901488
so,W10p0,5,19,-0.6816591754917821,0.6816591754917821
thetao,W10p0,1,1,-0.6807285711222095,0.6807285711222095
thetao,W10p0,2,12,-0.6802326929268842,0.6802326929268842
thetao,W20p0,3,19,-0.6786631756474615,0.6786631756474615
thetao,W20p0,2,0,-0.6781306583697838,0.6781306583697838
thetao,W10p0,2,4,-0.6781167748589196,0.6781167748589196
thetao,W20p0,9,15,-0.6768179242447292,0.6768179242447292
thetao,W60p0,2,8,-0.6763021064868915,0.6763021064868915
so,W10p0,5,20,-0.6759333303444798,0.6759333303444798
so,W10p0,1,0,-0.6759107241246933,0.6759107241246933
thetao,W30p0,2,0,-0.675461491222855,0.675461491222855
thetao,W10p0,1,0,-0.6749787223657183,0.6749787223657183
thetao,W60p0,2,19,-0.6744480959146321,0.6744480959146321
so,W60p0,1,2,0.6733517964318042,0.6733517964318042
so,W60p0,1,12,0.672772124370606,0.672772124370606
thetao,W20p0,2,3,-0.6715551090536713,0.6715551090536713
thetao,W10p0,1,2,-0.6713125164710132,0.6713125164710132
thetao,W10p0,2,6,-0.671294140094994,0.671294140094994
thetao,W10p0,1,8,-0.6708620261093963,0.6708620261093963
thetao,W10p0,1,13,-0.670729464171428,0.670729464171428
thetao,W10p0,1,7,-0.6704847549705354,0.6704847549705354
thetao,W40p0,3,14,0.6702678152427504,0.6702678152427504
thetao,W20p0,3,18,-0.6692850209026637,0.6692850209026637
thetao,W10p0,2,3,-0.6691605631633254,0.6691605631633254
thetao,W10p0,1,9,-0.6689148423277331,0.6689148423277331
so,W30p0,9,18,0.6680294675680152,0.6680294675680152
thetao,W60p0,2,10,-0.6677313505923599,0.6677313505923599
so,W30p0,3,1,0.6676067827125758,0.6676067827125758
so,W60p0,1,13,0.6664107585787451,0.6664107585787451
thetao,W10p0,1,10,-0.6663963756266723,0.6663963756266723
thetao,W20p0,3,20,-0.6663083418632767,0.6663083418632767
thetao,W40p0,3,19,0.6661698895131792,0.6661698895131792
thetao,W10p0,1,6,-0.6661608108829415,0.6661608108829415
so,W40p0,1,0,-0.6660672377006354,0.6660672377006354
so,W30p0,1,0,-0.6657804515126559,0.6657804515126559
thetao,W10p0,2,11,-0.6657297088356409,0.6657297088356409
so,W20p0,4,4,0.6654089363105928,0.6654089363105928
so,W30p0,5,18,-0.6651984456506249,0.6651984456506249
thetao,W10p0,1,15,-0.6651631260863418,0.6651631260863418
so,W20p0,10,19,-0.6650733463735915,0.6650733463735915
thetao,W10p0,2,1,-0.6650200726357197,0.6650200726357197
so,W60p0,1,15,0.6641362276913865,0.6641362276913865
thetao,W10p0,1,14,-0.6640599664151497,0.6640599664151497
so,W20p0,4,5,0.6638645382174165,0.6638645382174165
thetao,W10p0,1,11,-0.6637486270306799,0.6637486270306799
thetao,W30p0,8,15,0.6634777093889249,0.6634777093889249
thetao,W10p0,1,3,-0.6632261832467959,0.6632261832467959
