n_features,post_r2,delta_r2
1,0.6704538061257936,
2,0.6629881030145007,-0.0074657031112929095
3,0.6960104795421173,0.033022376527616526
4,0.737796527795949,0.0417860482538317
5,0.7521183703779041,0.014321842581955124
6,0.7462636822977842,-0.0058546880801199075
7,0.7522515389930953,0.0059878566953111
8,0.7510899549225758,-0.0011615840705194724
9,0.7855108758931629,0.03442092097058713
10,0.7866899617212019,0.0011790858280389394
11,0.7916819916979692,0.004992029976767287
12,0.7924180321206746,0.0007360404227054751
13,0.7953291174200647,0.0029110852993901037
14,0.7984967176745096,0.0031676002544448467
15,0.7993113350499822,0.0008146173754726149
16,0.8037978261368524,0.004486491086870159
17,0.8050054654486618,0.0012076393118094497
18,0.8051830824820347,0.00017761703337293433
19,0.8068155080358033,0.001632425553768524
20,0.8062174002996957,-0.0005981077361075782
21,0.8092817015067011,0.0030643012070054043
22,0.8413162561135632,0.03203455460686211
23,0.8427981745986064,0.0014819184850431988
24,0.8471115341191938,0.004313359520587423
25,0.8502735086960453,0.003161974576851523
26,0.8505368001592428,0.0002632914631974792
27,0.8543515392056946,0.0038147390464517983
28,0.8548461747893874,0.0004946355836927818
29,0.8546119623629883,-0.00023421242639909412
30,0.8620938893288163,0.007481926965827945
31,0.8669932931981056,0.004899403869289332
32,0.8670270938210085,3.380062290292418e-05
33,0.8669934195796937,-3.3674241314840536e-05
34,0.8666837438210093,-0.0003096757586843468
35,0.8670173966764342,0.0003336528554248597
36,0.8691774070634792,0.0021600103870450527
37,0.8701938635952804,0.0010164565318011576
38,0.8715929422417372,0.0013990786464568306
39,0.8743667987510046,0.002773856509267425
40,0.8752211407730854,0.0008543420220807896
41,0.8772526508645155,0.0020315100914301
42,0.8866186811323439,0.00936603026782834
43,0.8865673010639381,-5.138006840577081e-05
44,0.8861439942254472,-0.0004233068384909
45,0.8870718984989188,0.0009279042734715581
46,0.890219909113284,0.0031480106143652042
47,0.8899122579054801,-0.0003076512078038496
48,0.8921336566998359,0.002221398794355789
49,0.8924778149967065,0.0003441582968706225
50,0.8935687803876218,0.001090965390915244
51,0.8934240455373728,-0.00014473485024901755
52,0.8952091259431192,0.001785080405746431
53,0.8950547627195712,-0.00015436322354800414
54,0.8968878015506162,0.0018330388310450196
55,0.902240877759301,0.005353076208684748
56,0.9021089320255444,-0.0001319457337565222
57,0.9044649833472304,0.002356051321685926
58,0.904432063330855,-3.292001637533737e-05
59,0.9052882134837212,0.0008561501528662196
60,0.9068638384790173,0.0015756249952960655
