alpha,mean_cv_r2,std_cv_r2,n_folds_used
5.0,-6.255658851753438,6.708290372939168,3
10.0,-6.339510608830459,6.543509968718727,3
4.0,-7.069142737435832,7.8794098984579755,3
3.0,-8.484054058064931,9.884690663978526,3
1.0,-14.508783583568158,18.337422511529066,3
30.0,-15.180622729384162,17.2869682093632,3
40.0,-18.356277534847045,20.996839099445296,3
0.3,-18.36312738761307,23.717953862792506,3
0.1,-19.72417067086759,25.613714463619413,3
0.03,-20.232865375153953,26.321634458215872,3
0.01,-20.38145586276171,26.528350876704657,3
50.0,-20.784453728983824,23.75408226613557,3
60.0,-22.686188970818563,25.860207331441643,3
70.0,-24.21148476098263,27.513081603380822,3
100.0,-27.38227749898419,30.83783268094664,3
300.0,-33.780753223214056,37.04078099350417,3
