var,mode,lag,corr,abs_corr
so,1,1,-0.7304341916784853,0.7304341916784853
so,1,2,-0.7021367998479529,0.7021367998479529
so,1,3,-0.6891922185720071,0.6891922185720071
thetao,1,20,-0.6858359841786483,0.6858359841786483
so,1,4,-0.6813698174722592,0.6813698174722592
thetao,1,15,-0.6768151415053044,0.6768151415053044
so,1,0,-0.6712859252784319,0.6712859252784319
thetao,1,19,-0.6635427609481315,0.6635427609481315
thetao,1,14,-0.6631562980138281,0.6631562980138281
thetao,1,16,-0.6626097581134307,0.6626097581134307
so,2,20,-0.6622961922743043,0.6622961922743043
thetao,1,12,-0.6590007045882815,0.6590007045882815
so,1,10,-0.6573030668625381,0.6573030668625381
thetao,1,17,-0.6571104444569977,0.6571104444569977
so,1,5,-0.6544534395272538,0.6544534395272538
thetao,1,13,-0.6524797939176104,0.6524797939176104
so,8,19,0.6456876605571504,0.6456876605571504
thetao,1,18,-0.6445515600449664,0.6445515600449664
thetao,1,0,-0.6441599780950199,0.6441599780950199
so,2,19,-0.6432873479647502,0.6432873479647502
so,2,12,-0.639720347605621,0.639720347605621
thetao,1,11,-0.6356128366361127,0.6356128366361127
so,1,9,-0.6350724407382824,0.6350724407382824
so,1,6,-0.634004965377593,0.634004965377593
so,8,20,0.6278841247827421,0.6278841247827421
so,2,16,-0.6271043039546679,0.6271043039546679
so,2,13,-0.6250020735365113,0.6250020735365113
so,2,15,-0.624588195040734,0.624588195040734
thetao,1,10,-0.6241039414445332,0.6241039414445332
so,2,17,-0.6241017641048289,0.6241017641048289
thetao,1,9,-0.6230455073142653,0.6230455073142653
so,1,8,-0.6217657883402607,0.6217657883402607
so,7,18,0.6203876559971431,0.6203876559971431
so,1,7,-0.6176700665545265,0.6176700665545265
so,7,17,0.6174407719373043,0.6174407719373043
so,2,14,-0.6169499310340246,0.6169499310340246
so,2,11,-0.6166159460950978,0.6166159460950978
thetao,1,7,-0.6151874764166942,0.6151874764166942
so,1,11,-0.6133849041467668,0.6133849041467668
thetao,1,1,-0.6126303969737489,0.6126303969737489
thetao,1,8,-0.6113808302722642,0.6113808302722642
so,1,16,-0.6104162327043142,0.6104162327043142
thetao,1,5,-0.6097834319242641,0.6097834319242641
so,1,15,-0.6090679260144203,0.6090679260144203
thetao,1,2,-0.6067333739650991,0.6067333739650991
so,2,18,-0.6051399341432929,0.6051399341432929
thetao,1,6,-0.6048452293833179,0.6048452293833179
so,7,19,0.6026311419643106,0.6026311419643106
so,2,8,-0.6005449460152801,0.6005449460152801
thetao,1,4,-0.5979547657456906,0.5979547657456906
so,1,18,-0.5953036981502461,0.5953036981502461
thetao,1,3,-0.5940894062166768,0.5940894062166768
so,7,16,0.5938479648145247,0.5938479648145247
so,1,17,-0.5937535303301247,0.5937535303301247
so,2,7,-0.5923982175346013,0.5923982175346013
so,2,9,-0.5896536019939275,0.5896536019939275
thetao,4,15,0.5879258201861207,0.5879258201861207
so,1,14,-0.5878048060452661,0.5878048060452661
so,1,13,-0.5866447638471883,0.5866447638471883
so,8,18,0.584129437470397,0.584129437470397
so,2,10,-0.5820063538536497,0.5820063538536497
so,1,12,-0.5800254029280105,0.5800254029280105
so,2,6,-0.5741658129884287,0.5741658129884287
so,7,15,0.5708094963071233,0.5708094963071233
so,2,5,-0.5605866551756227,0.5605866551756227
so,7,20,0.5568046625402595,0.5568046625402595
so,7,14,0.5563288567148045,0.5563288567148045
so,8,15,0.5550681688587746,0.5550681688587746
so,1,19,-0.552812638433219,0.552812638433219
thetao,4,14,0.5478361221801838,0.5478361221801838
thetao,4,18,0.5466256151560552,0.5466256151560552
thetao,3,15,0.5446681951172735,0.5446681951172735
so,8,16,0.5419207984788884,0.5419207984788884
so,2,4,-0.5392266554928378,0.5392266554928378
thetao,4,6,0.5373647479110315,0.5373647479110315
thetao,4,4,0.5334850275424214,0.5334850275424214
thetao,6,10,-0.5333280760054082,0.5333280760054082
so,8,17,0.5327253633349138,0.5327253633349138
so,2,3,-0.5320889228120746,0.5320889228120746
thetao,4,5,0.5309169564805759,0.5309169564805759
thetao,4,13,0.530436947362524,0.530436947362524
so,2,0,-0.5293342178978182,0.5293342178978182
thetao,3,16,0.5282322086346941,0.5282322086346941
so,8,10,0.5271496603685957,0.5271496603685957
so,4,3,0.5240803544494212,0.5240803544494212
so,2,2,-0.5234570346226018,0.5234570346226018
thetao,3,14,0.5220294236989933,0.5220294236989933
thetao,4,16,0.5215017131074984,0.5215017131074984
so,4,4,0.5197577068707773,0.5197577068707773
thetao,6,6,-0.5182938369699147,0.5182938369699147
thetao,4,3,0.515555364048616,0.515555364048616
thetao,3,0,0.5142830666578319,0.5142830666578319
thetao,4,17,0.5136377972705379,0.5136377972705379
so,7,13,0.5120323554386419,0.5120323554386419
so,8,12,0.5118585293225262,0.5118585293225262
so,2,1,-0.5110765559351454,0.5110765559351454
so,1,20,-0.5060873474534989,0.5060873474534989
so,4,6,0.5033828152874059,0.5033828152874059
thetao,4,19,0.5025656013871229,0.5025656013871229
thetao,4,8,0.5024472055033357,0.5024472055033357
thetao,6,19,-0.5023985202280918,0.5023985202280918
so,8,13,0.50083386914297,0.50083386914297
thetao,6,17,-0.49980862917549546,0.49980862917549546
so,4,5,0.49810197983630455,0.49810197983630455
thetao,4,12,0.49677795418467374,0.49677795418467374
so,9,13,0.49438332027421944,0.49438332027421944
thetao,6,0,-0.4929564468733828,0.4929564468733828
thetao,4,11,0.49216783959427635,0.49216783959427635
thetao,3,17,0.4905345018190139,0.4905345018190139
so,7,12,0.4901989959644884,0.4901989959644884
thetao,6,7,-0.4896792687531154,0.4896792687531154
so,8,11,0.4861927551869138,0.4861927551869138
so,4,8,0.48566487072039904,0.48566487072039904
so,8,14,0.4854515315970369,0.4854515315970369
thetao,3,3,0.484094558238139,0.484094558238139
so,4,1,0.48342879483721796,0.48342879483721796
thetao,7,0,-0.48323301411239505,0.48323301411239505
so,10,14,-0.48322719624579097,0.48322719624579097
thetao,6,8,-0.4815728734024663,0.4815728734024663
so,10,11,-0.48150479781434286,0.48150479781434286
so,4,2,0.48013941120980297,0.48013941120980297
thetao,6,5,-0.47976191812673025,0.47976191812673025
thetao,3,2,0.4786567728308451,0.4786567728308451
thetao,6,18,-0.47581287992275506,0.47581287992275506
thetao,4,2,0.4753119751028449,0.4753119751028449
thetao,3,19,0.4739864359550953,0.4739864359550953
thetao,6,16,-0.47359347537062024,0.47359347537062024
thetao,6,4,-0.47311051020461714,0.47311051020461714
so,10,15,-0.4723052438813434,0.4723052438813434
so,4,7,0.47177202106370675,0.47177202106370675
so,10,8,-0.4711824578373405,0.4711824578373405
thetao,3,18,0.47004035172509484,0.47004035172509484
so,7,11,0.4688113346579463,0.4688113346579463
so,9,11,0.4669354800897252,0.4669354800897252
thetao,4,9,0.46653206778149753,0.46653206778149753
thetao,3,5,0.466346639656396,0.466346639656396
thetao,4,1,0.46608930913755187,0.46608930913755187
thetao,6,9,-0.46597259412812825,0.46597259412812825
thetao,3,13,0.4655821865451758,0.4655821865451758
so,7,10,0.46532765393737835,0.46532765393737835
thetao,3,4,0.4650789972991953,0.4650789972991953
so,8,9,0.4648970565803166,0.4648970565803166
thetao,6,20,-0.46393947741150504,0.46393947741150504
thetao,6,1,-0.4627229440323648,0.4627229440323648
thetao,6,11,-0.4616384992991615,0.4616384992991615
thetao,3,6,0.46031141454811375,0.46031141454811375
thetao,7,1,-0.4584643080852608,0.4584643080852608
thetao,6,3,-0.4578121429891457,0.4578121429891457
thetao,4,20,0.45635093989886427,0.45635093989886427
so,9,14,0.4563398886425446,0.4563398886425446
thetao,4,7,0.45289484102727406,0.45289484102727406
so,10,17,-0.45242129470699666,0.45242129470699666
thetao,6,15,-0.45172343887628225,0.45172343887628225
so,9,20,0.45154938494273344,0.45154938494273344
thetao,3,20,0.4506854006926131,0.4506854006926131
thetao,3,7,0.4461035656952099,0.4461035656952099
thetao,4,10,0.4446871663430316,0.4446871663430316
so,10,12,-0.4427859812320064,0.4427859812320064
so,10,13,-0.4403862569321415,0.4403862569321415
so,9,15,0.44017238334125514,0.44017238334125514
so,9,12,0.4399650648481551,0.4399650648481551
so,10,7,-0.43868483864149677,0.43868483864149677
so,7,9,0.43839106170890374,0.43839106170890374
thetao,3,1,0.43757239862785535,0.43757239862785535
thetao,3,12,0.43749304438429226,0.43749304438429226
thetao,6,14,-0.43570744282628604,0.43570744282628604
thetao,6,12,-0.4355181466985083,0.4355181466985083
thetao,3,9,0.4353864493078781,0.4353864493078781
thetao,6,2,-0.4347432616285067,0.4347432616285067
thetao,5,1,0.43232640478345724,0.43232640478345724
thetao,7,3,-0.4293574568450051,0.4293574568450051
so,10,20,-0.42719789359586957,0.42719789359586957
so,7,0,0.42574996842109186,0.42574996842109186
so,8,7,0.4234342469883143,0.4234342469883143
so,7,7,0.42269724768913736,0.42269724768913736
so,8,8,0.4224828244304678,0.4224828244304678
thetao,2,12,0.41708954106231966,0.41708954106231966
so,7,8,0.4158999427592082,0.4158999427592082
so,10,18,-0.41574517478395845,0.41574517478395845
so,4,11,0.41563800411044405,0.41563800411044405
so,4,9,0.41519224830950413,0.41519224830950413
so,3,15,-0.41450761664559255,0.41450761664559255
so,8,6,0.4135901815805381,0.4135901815805381
thetao,3,11,0.41167951662715674,0.41167951662715674
so,10,10,-0.4115507174787992,0.4115507174787992
so,3,16,-0.40847344314721346,0.40847344314721346
thetao,6,13,-0.4076625173669839,0.4076625173669839
thetao,3,8,0.4074249877362997,0.4074249877362997
thetao,3,10,0.4061023294191913,0.4061023294191913
thetao,5,0,0.40382605752984324,0.40382605752984324
so,7,6,0.40359568673177243,0.40359568673177243
so,9,18,0.40327974831843183,0.40327974831843183
thetao,7,15,-0.40315085032440207,0.40315085032440207
so,8,5,0.39921093792395845,0.39921093792395845
so,10,16,-0.39893056555885953,0.39893056555885953
thetao,2,10,0.39869229855897087,0.39869229855897087
thetao,9,17,0.3959033008269063,0.3959033008269063
so,9,8,0.3956081674349486,0.3956081674349486
so,3,14,-0.395502045343137,0.395502045343137
so,10,19,-0.39536891422774234,0.39536891422774234
