n_features,post_r2,delta_r2
1,0.4592201350785067,
2,0.4766365010138912,0.017416365935384537
3,0.4958503276200261,0.01921382660613491
4,0.686787066292144,0.1909367386721179
5,0.6861087449865606,-0.0006783213055834292
6,0.8582378407449891,0.1721290957584285
7,0.8663918984340779,0.008154057689088834
8,0.8640302586919735,-0.00236163974210446
9,0.8840052158319543,0.019974957139980876
10,0.9003268205273975,0.016321604695443193
11,0.9024952231790433,0.002168402651645751
12,0.902053248473306,-0.00044197470573725806
13,0.9036545066882602,0.0016012582149541599
14,0.9067550891448048,0.003100582456544654
15,0.913011602459383,0.006256513314578105
16,0.9193013708616256,0.0062897684022426015
17,0.9192752286296307,-2.614223199481902e-05
18,0.9193174618398084,4.22332101777112e-05
19,0.9271868785209822,0.007869416681173802
20,0.9419885793324625,0.014801700811480245
21,0.9476051692519352,0.00561658991947267
22,0.9485227925289104,0.0009176232769751991
23,0.9498023376045385,0.001279545075628108
24,0.9653289927439284,0.015526655139389889
25,0.9753020147372066,0.009973021993278208
26,0.9788818704458632,0.0035798557086565985
27,0.979601327103392,0.0007194566575288164
28,0.9797995351645367,0.00019820806114467793
29,0.9798625582782488,6.302311371209068e-05
30,0.9798185777212806,-4.398055696819281e-05
31,0.9797580691281488,-6.0508593131780586e-05
32,0.9802857587373042,0.0005276896091553906
33,0.9820577001335535,0.0017719413962493658
34,0.9821923716979164,0.00013467156436286487
35,0.9823973985098547,0.00020502681193834693
36,0.982507204321883,0.0001098058120282408
37,0.9858323573604083,0.003325153038525319
38,0.9858695413492009,3.718398879259954e-05
39,0.9902814749977101,0.004411933648509225
40,0.9904565036157564,0.00017502861804630232
41,0.9906166444950968,0.0001601408793403536
42,0.9904903269165702,-0.0001263175785265469
43,0.991147030233796,0.0006567033172257819
44,0.9911512654667958,4.235232999749705e-06
45,0.9909882963490976,-0.00016296911769819733
46,0.991282001828926,0.0002937054798284322
47,0.9912449944290948,-3.7007399831257004e-05
48,0.9913086447011643,6.365027206955975e-05
49,0.9914372896166415,0.00012864491547714962
50,0.9919167407140815,0.00047945109744007564
51,0.9918928539701051,-2.388674397646451e-05
52,0.9918169726545281,-7.588131557700883e-05
53,0.9919586880597511,0.00014171540522300852
54,0.9919776604579447,1.8972398193595197e-05
55,0.9923630204686528,0.00038536001070810233
56,0.9929335770180042,0.0005705565493514531
57,0.9930956096706689,0.0001620326526646787
58,0.9932945331040848,0.00019892343341587626
59,0.9932655387747119,-2.8994329372866723e-05
60,0.9936883653344867,0.00042282655977476935
