var,lon_tag,mode,lag,corr,abs_corr
so,W60p0,1,1,0.7691114449714063,0.7691114449714063
so,W60p0,1,2,0.7669245844819215,0.7669245844819215
so,W60p0,1,8,0.7596291513374788,0.7596291513374788
so,W60p0,1,6,0.7579156984772951,0.7579156984772951
thetao,W10p0,2,16,-0.7577622148170094,0.7577622148170094
thetao,W10p0,2,15,-0.7565210293069051,0.7565210293069051
so,W40p0,3,0,-0.7544219362043053,0.7544219362043053
so,W60p0,1,3,0.7541864940307482,0.7541864940307482
thetao,W10p0,2,18,-0.7531342682172028,0.7531342682172028
so,W60p0,1,7,0.7499777380271784,0.7499777380271784
so,W10p0,5,16,-0.7492362254362995,0.7492362254362995
thetao,W10p0,2,17,-0.7482381520522183,0.7482381520522183
thetao,W10p0,2,14,-0.7440890373326272,0.7440890373326272
thetao,W10p0,2,19,-0.7436337855411361,0.7436337855411361
thetao,W20p0,9,3,-0.7423892480917517,0.7423892480917517
thetao,W60p0,2,0,-0.7408605075672164,0.7408605075672164
thetao,W40p0,3,0,0.7393371460060287,0.7393371460060287
so,W60p0,1,4,0.7389078510337288,0.7389078510337288
so,W60p0,1,5,0.7381662780907078,0.7381662780907078
so,W60p0,1,0,0.7370558479761914,0.7370558479761914
so,W10p0,5,18,-0.73363585428373,0.73363585428373
so,W30p0,1,4,-0.7333268444353325,0.7333268444353325
so,W10p0,5,20,-0.7304974797215371,0.7304974797215371
so,W30p0,1,3,-0.7300397168834746,0.7300397168834746
so,W30p0,1,5,-0.7295147868121382,0.7295147868121382
so,W60p0,1,9,0.7282387328338077,0.7282387328338077
thetao,W10p0,2,20,-0.7275463525068867,0.7275463525068867
thetao,W20p0,9,2,-0.7274859544225993,0.7274859544225993
so,W10p0,5,15,-0.7273513253116661,0.7273513253116661
thetao,W20p0,3,20,-0.7222252348748212,0.7222252348748212
so,W60p0,1,11,0.7214922647939924,0.7214922647939924
thetao,W20p0,9,4,-0.7214523856560943,0.7214523856560943
thetao,W10p0,1,18,-0.7189564484708576,0.7189564484708576
thetao,W10p0,1,20,-0.7184802663428753,0.7184802663428753
thetao,W20p0,3,19,-0.7180922802753629,0.7180922802753629
so,W10p0,5,17,-0.7172643382446986,0.7172643382446986
thetao,W10p0,1,16,-0.7167629712471768,0.7167629712471768
thetao,W10p0,1,19,-0.7164573379426039,0.7164573379426039
thetao,W10p0,1,15,-0.7156805667181052,0.7156805667181052
thetao,W10p0,1,17,-0.7151084499493067,0.7151084499493067
so,W10p0,5,19,-0.7147182412899612,0.7147182412899612
thetao,W20p0,3,18,-0.7146878676554362,0.7146878676554362
thetao,W10p0,2,13,-0.7141568528754707,0.7141568528754707
so,W30p0,9,16,0.7139127102550228,0.7139127102550228
so,W20p0,10,20,-0.7137110846374524,0.7137110846374524
thetao,W30p0,4,20,0.712597548526857,0.712597548526857
so,W60p0,1,10,0.711414390320994,0.711414390320994
thetao,W20p0,3,17,-0.7091981740542928,0.7091981740542928
thetao,W10p0,2,3,-0.7080994817758947,0.7080994817758947
thetao,W20p0,9,1,-0.7075842220382867,0.7075842220382867
so,W20p0,10,16,-0.7058685285671922,0.7058685285671922
thetao,W20p0,9,5,-0.7040383026461627,0.7040383026461627
thetao,W10p0,2,4,-0.7038636354294627,0.7038636354294627
thetao,W10p0,2,11,-0.7028613210495243,0.7028613210495243
thetao,W20p0,3,16,-0.7020494615656129,0.7020494615656129
thetao,W10p0,2,12,-0.70066358298562,0.70066358298562
thetao,W10p0,1,14,-0.7006567490975545,0.7006567490975545
thetao,W30p0,4,19,0.6994171615937482,0.6994171615937482
thetao,W20p0,9,0,-0.6984451660544555,0.6984451660544555
thetao,W60p0,2,1,-0.6981789916247216,0.6981789916247216
thetao,W10p0,2,5,-0.6981156973407343,0.6981156973407343
thetao,W10p0,2,6,-0.6975260060147733,0.6975260060147733
so,W30p0,1,2,-0.6968711302749377,0.6968711302749377
thetao,W10p0,2,2,-0.695258245698176,0.695258245698176
thetao,W10p0,2,10,-0.6950601821596073,0.6950601821596073
thetao,W10p0,2,9,-0.6948620544812195,0.6948620544812195
so,W20p0,10,18,-0.6948545667732154,0.6948545667732154
so,W10p0,5,14,-0.6936595041735731,0.6936595041735731
thetao,W10p0,2,8,-0.6936233352183782,0.6936233352183782
so,W60p0,1,12,0.6935439399092166,0.6935439399092166
so,W20p0,10,17,-0.6933890086049036,0.6933890086049036
thetao,W10p0,2,7,-0.6926412816773578,0.6926412816773578
so,W30p0,5,17,-0.6919108476350396,0.6919108476350396
thetao,W20p0,3,15,-0.6905209720293638,0.6905209720293638
so,W30p0,1,6,-0.69019537782633,0.69019537782633
so,W30p0,1,1,-0.6867761596226545,0.6867761596226545
thetao,W10p0,1,6,-0.6848190223034794,0.6848190223034794
so,W20p0,4,3,0.6832352405694223,0.6832352405694223
thetao,W10p0,1,13,-0.6828037455332857,0.6828037455332857
so,W30p0,9,13,0.6826898874861402,0.6826898874861402
thetao,W40p0,3,12,0.682378573331821,0.682378573331821
so,W30p0,1,8,-0.6818696779120581,0.6818696779120581
thetao,W10p0,1,5,-0.6808409153100327,0.6808409153100327
thetao,W10p0,2,1,-0.680673138484351,0.680673138484351
thetao,W10p0,1,1,-0.6795460539624183,0.6795460539624183
thetao,W10p0,1,11,-0.6788490576388052,0.6788490576388052
thetao,W10p0,8,3,0.678659954946,0.678659954946
thetao,W10p0,1,4,-0.6786482236509058,0.6786482236509058
thetao,W10p0,1,7,-0.6785282806093303,0.6785282806093303
thetao,W30p0,8,13,0.6780989421841318,0.6780989421841318
so,W40p0,3,2,-0.6777036879169127,0.6777036879169127
thetao,W30p0,4,18,0.6775320286882213,0.6775320286882213
thetao,W10p0,1,2,-0.677354517016747,0.677354517016747
so,W20p0,10,19,-0.6772814320357755,0.6772814320357755
so,W30p0,9,20,0.6770262661876575,0.6770262661876575
thetao,W10p0,1,3,-0.6768555563305749,0.6768555563305749
thetao,W10p0,8,2,0.6765696490793696,0.6765696490793696
thetao,W10p0,1,12,-0.6765387794958888,0.6765387794958888
thetao,W30p0,4,17,0.6762390195213849,0.6762390195213849
thetao,W10p0,1,8,-0.675282055281696,0.675282055281696
so,W20p0,10,15,-0.6741643958398049,0.6741643958398049
thetao,W10p0,1,0,-0.6741470295289592,0.6741470295289592
thetao,W10p0,1,10,-0.673458396117067,0.673458396117067
so,W40p0,3,1,-0.673035344424129,0.673035344424129
thetao,W20p0,9,10,-0.6729158329050008,0.6729158329050008
thetao,W30p0,3,20,0.6728441893545636,0.6728441893545636
so,W30p0,9,12,0.6724885543181404,0.6724885543181404
thetao,W10p0,2,0,-0.6722349328625644,0.6722349328625644
so,W30p0,5,14,-0.6722028474465445,0.6722028474465445
thetao,W10p0,8,1,0.671366882519551,0.671366882519551
thetao,W10p0,1,9,-0.6710143530005223,0.6710143530005223
thetao,W30p0,8,15,0.6708043099439717,0.6708043099439717
thetao,W20p0,9,9,-0.6702255438158905,0.6702255438158905
so,W30p0,9,15,0.6698020051079413,0.6698020051079413
so,W30p0,9,19,0.6691113306985207,0.6691113306985207
thetao,W40p0,3,20,0.6690700587070137,0.6690700587070137
thetao,W40p0,3,11,0.6686404749793202,0.6686404749793202
thetao,W30p0,4,16,0.6674502137267772,0.6674502137267772
thetao,W60p0,2,6,-0.6672252142743402,0.6672252142743402
thetao,W20p0,9,7,-0.6669926799832867,0.6669926799832867
thetao,W20p0,3,14,-0.6668366475995164,0.6668366475995164
thetao,W20p0,9,11,-0.6662753643487179,0.6662753643487179
thetao,W60p0,2,5,-0.665646535796545,0.665646535796545
thetao,W20p0,9,12,-0.6651916972099102,0.6651916972099102
thetao,W30p0,2,0,-0.6644330617273326,0.6644330617273326
thetao,W40p0,5,15,0.6640676800293027,0.6640676800293027
so,W30p0,9,17,0.6626899455617791,0.6626899455617791
thetao,W40p0,5,16,0.6622624415346288,0.6622624415346288
thetao,W20p0,9,8,-0.6618778440903847,0.6618778440903847
thetao,W40p0,3,19,0.6615905573345797,0.6615905573345797
so,W30p0,1,7,-0.6614194034645547,0.6614194034645547
thetao,W40p0,5,18,0.6614070569963643,0.6614070569963643
thetao,W10p0,8,0,0.6609695968496325,0.6609695968496325
thetao,W40p0,5,20,0.6602116557338806,0.6602116557338806
thetao,W30p0,8,14,0.6599894292290194,0.6599894292290194
thetao,W40p0,5,17,0.6595898685478473,0.6595898685478473
thetao,W60p0,2,8,-0.6590736876090635,0.6590736876090635
thetao,W30p0,8,12,0.6586134194811186,0.6586134194811186
thetao,W60p0,7,0,-0.6583813559652951,0.6583813559652951
thetao,W40p0,3,18,0.6581783692546936,0.6581783692546936
thetao,W60p0,2,7,-0.6577146620853491,0.6577146620853491
so,W30p0,5,16,-0.6572851564912414,0.6572851564912414
thetao,W40p0,3,13,0.6570825190796663,0.6570825190796663
thetao,W30p0,3,19,0.6570057792894561,0.6570057792894561
thetao,W20p0,9,6,-0.6569105142933036,0.6569105142933036
thetao,W40p0,3,7,0.6566935798444782,0.6566935798444782
thetao,W40p0,3,9,0.6566275933128114,0.6566275933128114
thetao,W40p0,3,10,0.6563951311784034,0.6563951311784034
so,W10p0,8,17,0.6560999236329532,0.6560999236329532
so,W60p0,3,20,0.6556077287468938,0.6556077287468938
thetao,W60p0,2,2,-0.653375322738705,0.653375322738705
thetao,W30p0,7,10,0.653046151240115,0.653046151240115
thetao,W40p0,3,16,0.6522375983268733,0.6522375983268733
thetao,W20p0,2,0,-0.6522106137135787,0.6522106137135787
thetao,W40p0,5,19,0.6518191151133067,0.6518191151133067
thetao,W40p0,3,2,0.651707339328203,0.651707339328203
so,W30p0,5,15,-0.6512921327287399,0.6512921327287399
thetao,W20p0,9,14,-0.6506572501647024,0.6506572501647024
so,W30p0,3,0,0.6491484094461041,0.6491484094461041
so,W60p0,1,13,0.648977776720831,0.648977776720831
thetao,W30p0,6,20,-0.6484678342342106,0.6484678342342106
so,W10p0,5,13,-0.6476657656182163,0.6476657656182163
thetao,W30p0,4,15,0.6459110064823387,0.6459110064823387
so,W10p0,8,16,0.6455361040997001,0.6455361040997001
thetao,W60p0,2,16,-0.6452318727917076,0.6452318727917076
so,W30p0,5,18,-0.6447210089595332,0.6447210089595332
so,W40p0,3,3,-0.6446083660734658,0.6446083660734658
thetao,W40p0,3,1,0.644492018860176,0.644492018860176
thetao,W60p0,2,9,-0.6439241474575511,0.6439241474575511
thetao,W20p0,9,13,-0.6433892336690431,0.6433892336690431
thetao,W40p0,3,17,0.6430073278276368,0.6430073278276368
so,W60p0,3,19,0.6428774124950923,0.6428774124950923
thetao,W20p0,3,13,-0.6427742916936713,0.6427742916936713
thetao,W40p0,3,15,0.6425001915296613,0.6425001915296613
thetao,W40p0,3,8,0.6414678306031467,0.6414678306031467
thetao,W40p0,5,14,0.6406562281236077,0.6406562281236077
so,W20p0,4,4,0.6405677464747701,0.6405677464747701
thetao,W60p0,6,15,-0.6405476057791114,0.6405476057791114
so,W30p0,9,14,0.6402305007298091,0.6402305007298091
thetao,W40p0,3,5,0.6402301251718956,0.6402301251718956
thetao,W30p0,8,11,0.6401881409215454,0.6401881409215454
so,W20p0,10,14,-0.6399534251617355,0.6399534251617355
so,W10p0,8,18,0.6398829777436421,0.6398829777436421
so,W10p0,8,19,0.639074461537171,0.639074461537171
thetao,W40p0,3,14,0.6388310415755009,0.6388310415755009
thetao,W30p0,8,16,0.638442867811078,0.638442867811078
thetao,W20p0,4,19,-0.6381211330580603,0.6381211330580603
so,W20p0,4,2,0.638098859624663,0.638098859624663
thetao,W60p0,2,15,-0.6379718124994562,0.6379718124994562
thetao,W60p0,2,17,-0.6370393692572203,0.6370393692572203
thetao,W30p0,3,18,0.6366869547840845,0.6366869547840845
thetao,W60p0,3,12,0.6353320439263135,0.6353320439263135
thetao,W60p0,3,20,0.6352382661703292,0.6352382661703292
thetao,W60p0,2,4,-0.6350757276234764,0.6350757276234764
so,W30p0,5,20,-0.6350119005683379,0.6350119005683379
so,W10p0,5,11,-0.6347885097386615,0.6347885097386615
thetao,W30p0,4,10,0.6340723802151488,0.6340723802151488
thetao,W20p0,3,12,-0.6335741852566984,0.6335741852566984
thetao,W10p0,8,4,0.6335124973880554,0.6335124973880554
thetao,W10p0,3,20,0.6328966084119925,0.6328966084119925
thetao,W30p0,4,14,0.6316602235569924,0.6316602235569924
so,W30p0,1,9,-0.6312604799448442,0.6312604799448442
thetao,W60p0,2,18,-0.629446925035296,0.629446925035296
thetao,W30p0,7,9,0.6290684423712795,0.6290684423712795
thetao,W60p0,3,19,0.6285704763420703,0.6285704763420703
so,W30p0,9,9,0.6281072282206213,0.6281072282206213
thetao,W30p0,6,19,-0.6275360513138998,0.6275360513138998
thetao,W60p0,3,13,0.626739046450496,0.626739046450496
thetao,W10p0,3,19,0.6266029790015984,0.6266029790015984
thetao,W30p0,4,12,0.6263160619614601,0.6263160619614601
so,W40p0,3,4,-0.6262920510316772,0.6262920510316772
thetao,W30p0,4,9,0.6261231818820858,0.6261231818820858
thetao,W30p0,4,11,0.6260786058735636,0.6260786058735636
thetao,W20p0,3,11,-0.6260543644421311,0.6260543644421311
so,W40p0,7,17,-0.625099459486459,0.625099459486459
so,W30p0,1,12,-0.6248234264031017,0.6248234264031017
so,W10p0,5,12,-0.6246612158194639,0.6246612158194639
thetao,W10p0,3,18,0.6245929598294409,0.6245929598294409
so,W10p0,5,6,-0.6238837392957582,0.6238837392957582
so,W30p0,9,18,0.6233112955517833,0.6233112955517833
thetao,W30p0,3,17,0.6226222370830065,0.6226222370830065
so,W10p0,8,20,0.6225671742758742,0.6225671742758742
thetao,W40p0,5,13,0.6219730979018478,0.6219730979018478
so,W10p0,6,17,0.6219096020680412,0.6219096020680412
thetao,W30p0,6,18,-0.6218224591112215,0.6218224591112215
thetao,W40p0,4,13,-0.6210033575476729,0.6210033575476729
thetao,W30p0,4,7,0.6206505326120441,0.6206505326120441
thetao,W20p0,4,20,-0.6200948232197034,0.6200948232197034
so,W30p0,5,7,-0.6194995297040404,0.6194995297040404
thetao,W30p0,4,13,0.6194381827902551,0.6194381827902551
thetao,W30p0,6,15,-0.6192429856075995,0.6192429856075995
thetao,W20p0,2,6,-0.6187302355701805,0.6187302355701805
thetao,W60p0,2,19,-0.6187254709031057,0.6187254709031057
so,W20p0,10,13,-0.6185852867220751,0.6185852867220751
so,W40p0,3,7,-0.6181409955697067,0.6181409955697067
thetao,W60p0,6,14,-0.6176322065954021,0.6176322065954021
thetao,W60p0,4,20,0.6175878799197418,0.6175878799197418
so,W30p0,1,13,-0.6174575538431238,0.6174575538431238
thetao,W60p0,2,3,-0.617307572490611,0.617307572490611
thetao,W20p0,2,1,-0.6171515200820041,0.6171515200820041
so,W30p0,5,19,-0.6171165464275528,0.6171165464275528
thetao,W10p0,3,17,0.6170189881011294,0.6170189881011294
so,W30p0,3,1,0.6169353395155243,0.6169353395155243
so,W10p0,5,7,-0.6167804812220377,0.6167804812220377
thetao,W60p0,2,20,-0.6167413200177524,0.6167413200177524
so,W40p0,4,18,-0.6165015405413998,0.6165015405413998
so,W60p0,1,14,0.6161710068399888,0.6161710068399888
so,W30p0,9,10,0.6159397771135666,0.6159397771135666
thetao,W40p0,3,4,0.6156602341330538,0.6156602341330538
thetao,W20p0,3,10,-0.6154930898765963,0.6154930898765963
thetao,W40p0,5,12,0.6150437866340134,0.6150437866340134
thetao,W30p0,4,8,0.6147196697734459,0.6147196697734459
so,W10p0,8,11,0.6144134666983861,0.6144134666983861
thetao,W30p0,7,5,0.6140618092287825,0.6140618092287825
so,W30p0,3,2,0.6136950099943529,0.6136950099943529
thetao,W60p0,6,20,-0.6136155647534001,0.6136155647534001
so,W30p0,9,11,0.613455356383814,0.613455356383814
so,W40p0,4,15,-0.6125794805834592,0.6125794805834592
thetao,W40p0,3,6,0.6122340406361793,0.6122340406361793
so,W10p0,5,4,-0.6115735730917522,0.6115735730917522
so,W60p0,9,19,0.611295471016988,0.611295471016988
so,W30p0,1,11,-0.6112086663825975,0.6112086663825975
thetao,W60p0,2,14,-0.6111044697084123,0.6111044697084123
so,W10p0,5,5,-0.611047120207199,0.611047120207199
so,W30p0,5,11,-0.6108888816055336,0.6108888816055336
so,W10p0,5,8,-0.6100909570068481,0.6100909570068481
so,W10p0,8,14,0.6099289182367824,0.6099289182367824
thetao,W20p0,2,7,-0.6098493894938433,0.6098493894938433
thetao,W30p0,3,16,0.6096850386815168,0.6096850386815168
thetao,W40p0,5,11,0.6088167366490763,0.6088167366490763
thetao,W40p0,8,19,-0.6087026818419653,0.6087026818419653
so,W30p0,5,13,-0.6087003252978552,0.6087003252978552
thetao,W20p0,2,2,-0.6085265755873759,0.6085265755873759
thetao,W30p0,2,17,-0.60838847019398,0.60838847019398
thetao,W30p0,6,17,-0.608320489205359,0.608320489205359
so,W10p0,8,3,0.6080398771446268,0.6080398771446268
thetao,W20p0,3,9,-0.6079935560854774,0.6079935560854774
so,W10p0,4,18,-0.607923122843985,0.607923122843985
thetao,W60p0,6,18,-0.6078174596343155,0.6078174596343155
thetao,W20p0,9,15,-0.6074950442700802,0.6074950442700802
thetao,W30p0,6,16,-0.6074753802631869,0.6074753802631869
so,W10p0,8,12,0.606581048977857,0.606581048977857
so,W40p0,7,18,-0.6064578336282074,0.6064578336282074
thetao,W30p0,7,11,0.6064546744268917,0.6064546744268917
