n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.17738459494331438,0.6641446743508976,thetao,W10p0,3,13
12,0.056299234475219784,0.7736766188021833,thetao,W20p0,3,13
21,0.05595524125533058,0.893536277077261,thetao,W20p0,3,19
17,0.0420790050416644,0.8335827360035425,thetao,W20p0,3,14
26,0.024231869406095674,0.9315204441042269,so,W60p0,1,13
3,0.018106967704836663,0.6822516420557343,thetao,W10p0,3,15
6,0.017913769581751726,0.699005604512001,thetao,W10p0,3,16
32,0.013098275469282106,0.9615712629030168,so,W30p0,1,16
10,0.013096974952567786,0.7120073616673697,thetao,W20p0,3,20
24,0.011929398316115503,0.9052943593074982,thetao,W20p0,3,18
