alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-0.2335269590253073,0.23798639710503913,3
100.0,-0.2941603919745865,0.3665886878697507,3
70.0,-0.32499501908397915,0.4308327935317394,3
60.0,-0.3399545120327539,0.4615856162046392,3
50.0,-0.3587690397915682,0.49973973699570756,3
40.0,-0.38323158103637067,0.5481875955761831,3
30.0,-0.4167132446595277,0.6114967466752581,3
10.0,-0.5653074189888972,0.8241847630558535,3
5.0,-0.6818903699010411,0.9303397565383761,3
4.0,-0.7217347973680108,0.9631647028207329,3
3.0,-0.7726744869507794,1.0051963178818326,3
1.0,-0.9392715972665595,1.1460696467195195,3
0.3,-1.0556577538966156,1.2234988395238113,3
0.1,-1.1116575799996005,1.2438898669103602,3
0.03,-1.1372096238275387,1.2494215972228573,3
0.01,-1.1453483037300038,1.2507448370847083,3
