var,lon_tag,mode,lag,corr,abs_corr
thetao,W60p0,2,0,-0.7628122347380818,0.7628122347380818
thetao,W40p0,3,0,0.7383703713319736,0.7383703713319736
thetao,W60p0,2,1,-0.7062515478541268,0.7062515478541268
so,W30p0,1,8,-0.686040124700495,0.686040124700495
so,W30p0,1,3,-0.6810388577091987,0.6810388577091987
so,W60p0,1,0,0.6808946338253976,0.6808946338253976
thetao,W20p0,2,11,-0.6791175070719689,0.6791175070719689
thetao,W60p0,2,2,-0.676672098905933,0.676672098905933
thetao,W20p0,2,12,-0.6720661293887353,0.6720661293887353
so,W30p0,1,5,-0.6713104993502249,0.6713104993502249
so,W30p0,1,9,-0.6701437172393613,0.6701437172393613
thetao,W30p0,1,9,-0.6698618440670334,0.6698618440670334
so,W30p0,1,4,-0.6679428976666978,0.6679428976666978
so,W60p0,1,1,0.6658984885465303,0.6658984885465303
thetao,W30p0,1,10,-0.6638066739423719,0.6638066739423719
thetao,W20p0,2,7,-0.6634084927531169,0.6634084927531169
thetao,W20p0,2,6,-0.6618451675209468,0.6618451675209468
thetao,W30p0,1,8,-0.6608582144463123,0.6608582144463123
thetao,W60p0,2,3,-0.6599554436342958,0.6599554436342958
so,W30p0,1,10,-0.6598978474733312,0.6598978474733312
so,W30p0,1,14,-0.6595364879149282,0.6595364879149282
thetao,W20p0,2,10,-0.6559876202000581,0.6559876202000581
so,W40p0,1,5,-0.6525652111458747,0.6525652111458747
thetao,W30p0,1,11,-0.6515153683822885,0.6515153683822885
so,W40p0,1,14,-0.6502696855185026,0.6502696855185026
thetao,W20p0,2,9,-0.6487130699238003,0.6487130699238003
so,W30p0,1,7,-0.6486463919349074,0.6486463919349074
so,W30p0,1,6,-0.6478296187226892,0.6478296187226892
so,W30p0,1,2,-0.6472140008282846,0.6472140008282846
so,W40p0,1,6,-0.6463478293289772,0.6463478293289772
thetao,W30p0,1,13,-0.6437847633238581,0.6437847633238581
thetao,W20p0,2,16,-0.6425620757161766,0.6425620757161766
so,W30p0,1,15,-0.6420736830379851,0.6420736830379851
thetao,W20p0,2,13,-0.6419545033858316,0.6419545033858316
so,W30p0,1,13,-0.6418373508722772,0.6418373508722772
