n_features,post_r2,delta_r2
1,0.0002697143425931525,
2,0.027311753423723606,0.027042039081130453
3,0.039188528686140534,0.011876775262416928
4,0.07548322659983075,0.03629469791369022
5,0.08568900141933977,0.010205774819509017
6,0.094169821810698,0.008480820391358224
7,0.10686707348333047,0.01269725167263247
8,0.167963759487313,0.06109668600398255
9,0.18119634677919438,0.01323258729188137
10,0.22633570971897754,0.045139362939783156
11,0.24401923066812592,0.01768352094914838
12,0.27620289213678284,0.03218366146865692
13,0.2886475640120656,0.012444671875282753
14,0.32147654758839483,0.03282898357632924
15,0.36966138574419005,0.04818483815579522
16,0.37844557353056063,0.008784187786370579
17,0.38278568556042103,0.004340112029860399
18,0.3830788178041996,0.00029313224377858216
19,0.3876201155596971,0.004541297755497498
20,0.3907706025980535,0.0031504870383564088
21,0.39108227361588976,0.00031167101783624584
22,0.3957254614626565,0.004643187846766761
23,0.39572649246306846,1.0310004119329363e-06
24,0.3970166751367703,0.0012901826737018451
25,0.4015334593133303,0.004516784176559985
26,0.4107736244373267,0.009240165123996391
27,0.41085092287052905,7.729843320236629e-05
28,0.4115462865998958,0.0006953637293667381
29,0.41269567413978936,0.001149387539893576
30,0.41368265178980956,0.0009869776500202043
31,0.42018103415122354,0.006498382361413979
32,0.4210300087993353,0.0008489746481117333
33,0.4298977235766057,0.008867714777270441
34,0.43009008281204686,0.00019235923544114186
35,0.43273536512535404,0.0026452823133071846
36,0.4388973248720357,0.006161959746681656
37,0.4399044903453675,0.0010071654733317947
38,0.44041184316317084,0.0005073528178033415
39,0.4418119660342784,0.0014001228711075786
40,0.448961115805219,0.0071491497709406104
41,0.4675237821442726,0.01856266633905357
42,0.4679480153164606,0.0004242331721879822
43,0.4690966693051324,0.0011486539886718106
44,0.47208991587075066,0.0029932465656182794
45,0.47660411416361337,0.004514198292862703
46,0.47663999632768783,3.588216407446332e-05
47,0.49250588435670484,0.015865888029017006
48,0.5004345109182974,0.007928626561592544
49,0.5010701015277066,0.000635590609409209
50,0.5025159551591492,0.0014458536314425618
51,0.5043904278130877,0.0018744726539385859
52,0.5043899948710852,-4.3294200258170434e-07
53,0.5181090763849048,0.01371908151381962
54,0.519024985670651,0.0009159092857462525
55,0.5358510903105616,0.016826104639910522
56,0.5468581793139495,0.011007089003387982
57,0.5551007916193549,0.00824261230540535
58,0.5551051395348324,4.347915477542763e-06
59,0.5615376626078994,0.006432523073066965
60,0.5619706419304171,0.00043297932251773474
