var,lon_tag,mode,lag,corr,abs_corr
thetao,W40p0,2,0,0.6631629677923445,0.6631629677923445
thetao,W40p0,2,1,0.6530643575045842,0.6530643575045842
so,W10p0,7,12,-0.6452967701672108,0.6452967701672108
so,W10p0,2,20,0.6448763301159887,0.6448763301159887
so,W10p0,7,13,-0.6390272142152698,0.6390272142152698
so,W10p0,7,11,-0.6376524782139478,0.6376524782139478
so,W10p0,2,19,0.627379258070059,0.627379258070059
so,W10p0,7,10,-0.6257737614655567,0.6257737614655567
so,W60p0,1,4,0.6220503913500764,0.6220503913500764
so,W30p0,1,0,-0.6216521039785601,0.6216521039785601
so,W10p0,2,18,0.6209441123390332,0.6209441123390332
thetao,W60p0,5,3,-0.6185729571465004,0.6185729571465004
so,W30p0,1,1,-0.6183716631099624,0.6183716631099624
so,W10p0,7,9,-0.6181998684496423,0.6181998684496423
so,W30p0,1,2,-0.614071123230895,0.614071123230895
thetao,W40p0,6,5,0.6108687275378172,0.6108687275378172
thetao,W60p0,5,0,-0.6076893995874296,0.6076893995874296
thetao,W60p0,5,4,-0.6066681283609635,0.6066681283609635
thetao,W60p0,5,1,-0.6050815141860068,0.6050815141860068
thetao,W40p0,6,6,0.6033094838415917,0.6033094838415917
so,W10p0,7,14,-0.602739397300237,0.602739397300237
so,W10p0,7,8,-0.6021781279960914,0.6021781279960914
so,W20p0,1,0,0.6006292296097636,0.6006292296097636
thetao,W40p0,6,7,0.5998286824460656,0.5998286824460656
so,W10p0,7,7,-0.5970326853126222,0.5970326853126222
so,W20p0,1,1,0.5964566991366409,0.5964566991366409
so,W10p0,2,17,0.5959966829777485,0.5959966829777485
thetao,W40p0,6,8,0.5955598974560508,0.5955598974560508
thetao,W10p0,10,20,-0.5946130887935941,0.5946130887935941
thetao,W60p0,5,5,-0.5937667415340311,0.5937667415340311
so,W60p0,1,5,0.593620162829921,0.593620162829921
thetao,W60p0,5,2,-0.5884210008190186,0.5884210008190186
thetao,W10p0,10,18,-0.5869760348346061,0.5869760348346061
so,W10p0,7,6,-0.5851200128026904,0.5851200128026904
so,W40p0,4,3,-0.5815615354802632,0.5815615354802632
thetao,W10p0,10,19,-0.5803560620908256,0.5803560620908256
so,W60p0,10,1,-0.5789228234243478,0.5789228234243478
so,W10p0,2,16,0.578593678580961,0.578593678580961
thetao,W40p0,6,4,0.5758604816011575,0.5758604816011575
thetao,W20p0,3,12,0.5756093666071362,0.5756093666071362
thetao,W30p0,1,2,0.5751727661769578,0.5751727661769578
so,W40p0,4,2,-0.5737109777607808,0.5737109777607808
so,W10p0,7,5,-0.5733964207573479,0.5733964207573479
thetao,W40p0,6,9,0.572278882856281,0.572278882856281
so,W60p0,1,6,0.5706367741909948,0.5706367741909948
so,W30p0,1,3,-0.5682210851317022,0.5682210851317022
so,W20p0,1,2,0.5672520758851951,0.5672520758851951
so,W10p0,7,15,-0.5639145665824307,0.5639145665824307
so,W40p0,4,1,-0.5626410133469398,0.5626410133469398
thetao,W20p0,3,13,0.5598362074323586,0.5598362074323586
so,W60p0,1,3,0.559104934066767,0.559104934066767
so,W40p0,4,4,-0.5573399802344292,0.5573399802344292
so,W60p0,10,0,-0.5568932997995248,0.5568932997995248
so,W60p0,10,2,-0.5562889408566405,0.5562889408566405
thetao,W30p0,9,6,-0.554267486199305,0.554267486199305
thetao,W30p0,9,5,-0.5523255265791641,0.5523255265791641
so,W60p0,1,2,0.5518548812071941,0.5518548812071941
thetao,W10p0,10,17,-0.5517394442243654,0.5517394442243654
thetao,W20p0,7,4,-0.5507313872910914,0.5507313872910914
so,W60p0,3,6,0.550666210200995,0.550666210200995
thetao,W30p0,1,1,0.5505671604928704,0.5505671604928704
thetao,W40p0,6,3,0.549281394325805,0.549281394325805
so,W10p0,7,16,-0.5487778021526375,0.5487778021526375
thetao,W60p0,5,6,-0.5480085663135178,0.5480085663135178
thetao,W40p0,2,2,0.5452090287494191,0.5452090287494191
so,W60p0,1,1,0.5445111842026121,0.5445111842026121
thetao,W20p0,7,5,-0.5414539501292526,0.5414539501292526
thetao,W40p0,6,2,0.5413747837995366,0.5413747837995366
so,W60p0,8,1,0.5396753794511903,0.5396753794511903
so,W20p0,10,13,-0.5396671818283212,0.5396671818283212
so,W60p0,1,0,0.5394733777859663,0.5394733777859663
thetao,W30p0,1,0,0.5392803370267977,0.5392803370267977
so,W10p0,7,1,-0.5392774330617515,0.5392774330617515
thetao,W10p0,10,16,-0.5388305677811105,0.5388305677811105
