n_features,post_r2,delta_r2
1,0.15838350663976064,
2,0.15906745764252594,0.000683951002765304
3,0.5446695650741978,0.3856021074316719
4,0.6286364427294528,0.08396687765525501
5,0.6517346234084631,0.02309818067901026
6,0.6980926387352686,0.0463580153268055
7,0.7036752258970396,0.005582587161770958
8,0.7520386950127157,0.04836346911567613
9,0.7762209357631197,0.024182240750403983
10,0.7925061737415973,0.016285237978477585
11,0.8200888008455998,0.0275826271040025
12,0.8341356376491711,0.014046836803571328
13,0.8351903638328232,0.0010547261836520994
14,0.844579661680969,0.009389297848145794
15,0.8613051888258721,0.016725527144903163
16,0.8608781942542357,-0.00042699457163641874
17,0.8627457896516197,0.0018675953973840143
18,0.8633286410681109,0.0005828514164911702
19,0.8777730234367502,0.014444382368639319
20,0.8771227403240007,-0.0006502831127495057
21,0.8770784508619742,-4.42894620265033e-05
22,0.8842100067781179,0.007131555916143673
23,0.89275233443689,0.008542327658772053
24,0.8991470777821695,0.006394743345279563
25,0.8993271819177677,0.0001801041355982136
26,0.9020007850930993,0.002673603175331607
27,0.9025111508840984,0.0005103657909990567
28,0.9048325169277297,0.002321366043631312
29,0.9082719223852496,0.003439405457519862
30,0.9109519943726905,0.002680071987440913
31,0.9241116511575123,0.013159656784821783
32,0.9254642971699562,0.0013526460124438922
33,0.92628546542113,0.0008211682511738427
34,0.9269110173005988,0.0006255518794687775
35,0.9268368958833525,-7.412141724627563e-05
36,0.9274193667217954,0.0005824708384428723
37,0.9290843919333863,0.0016650252115909536
38,0.9307547380492172,0.0016703461158308341
39,0.9304652492141557,-0.0002894888350614133
40,0.9306576098789552,0.00019236066479944025
41,0.9313332452353357,0.0006756353563804884
42,0.9314567134400775,0.00012346820474185005
43,0.9316376816694999,0.00018096822942237356
44,0.9314867695619462,-0.00015091210755369122
45,0.9311893682735224,-0.0002974012884238153
46,0.9313623995304975,0.00017303125697509802
47,0.9320630974906823,0.0007006979601847929
48,0.9319628008821922,-0.00010029660849009137
49,0.9325569184359512,0.0005941175537590437
50,0.9344892396892482,0.001932321253297009
51,0.9347471556767284,0.00025791598748015065
52,0.9346001476070557,-0.00014700806967271607
53,0.9367345625765626,0.002134414969506948
54,0.9367077610327431,-2.6801543819510165e-05
55,0.9367752127599176,6.745172717448344e-05
56,0.9365801690952833,-0.0001950436646342979
57,0.9366682720225481,8.810292726479929e-05
58,0.9377727165700422,0.0011044445474941433
59,0.9381965966634562,0.00042388009341398636
60,0.9381959142085874,-6.824548688388887e-07
