n,delta_r2,post_r2,var,lon_tag,mode,lag
3,0.3856021074316719,0.5446695650741978,so,W10p0,7,12
4,0.08396687765525501,0.6286364427294528,so,W10p0,2,20
8,0.04836346911567613,0.7520386950127157,so,W10p0,7,10
6,0.0463580153268055,0.6980926387352686,so,W10p0,7,11
11,0.0275826271040025,0.8200888008455998,so,W10p0,2,18
9,0.024182240750403983,0.7762209357631197,so,W60p0,1,4
5,0.02309818067901026,0.6517346234084631,so,W10p0,7,13
15,0.016725527144903163,0.8613051888258721,so,W30p0,1,2
10,0.016285237978477585,0.7925061737415973,so,W30p0,1,0
19,0.014444382368639319,0.8777730234367502,thetao,W60p0,5,1
12,0.014046836803571328,0.8341356376491711,thetao,W60p0,5,3
31,0.013159656784821783,0.9241116511575123,so,W60p0,1,5
