alpha,mean_cv_r2,std_cv_r2
1.0,-6.62713333807456,4.382924182467174
0.3,-6.72051074434766,5.829740509334048
0.1,-6.78520940705567,6.310849503642052
0.03,-6.813326167007559,6.484848343437389
0.01,-6.821939564756299,6.535047697786669
3.0,-6.906154135924001,3.35904394420661
10.0,-9.090935360954061,9.935429099977553
30.0,-14.38619747370406,18.88118424924721
40.0,-16.34592418860392,21.544225847534673
50.0,-18.00279320516079,23.72552877956697
60.0,-19.42812990387524,25.57802020005467
70.0,-20.67072481440235,27.185023697188377
100.0,-23.609721278260903,30.98255702063789
300.0,-31.741954202582807,41.60836600467497
