alpha,mean_cv_r2,std_cv_r2,n_folds_used
4.0,-3.7513170858114164,2.779975777878023,3
5.0,-3.7630204512408536,3.1924415404652047,3
3.0,-3.8046804525226157,2.352792742150886,3
1.0,-4.2475047223969264,1.8338470649320013,3
10.0,-4.328634506663873,4.930844160510724,3
0.3,-4.604305644811069,2.1212953063898374,3
0.1,-4.745801357282624,2.2926234388607583,3
0.03,-4.801749783640534,2.3645869269009614,3
0.01,-4.818471970737299,2.3864323852391833,3
30.0,-8.320691220278986,10.429545463449235,3
40.0,-10.26506813715689,12.897135595266196,3
50.0,-12.045510841552499,15.172366830014482,3
60.0,-13.659368566100186,17.252212776318178,3
70.0,-15.118086729621782,19.146128661936977,3
100.0,-18.717402920415072,23.869050535256193,3
300.0,-29.25649900824278,37.98100079373528,3
