n_features,post_r2,delta_r2
1,0.5647275249632746,
2,0.5602057982430887,-0.004521726720185915
3,0.7076089708144775,0.1474031725713888
4,0.7724586252990508,0.06484965448457336
5,0.8203604345561728,0.04790180925712195
6,0.8367150752823564,0.016354640726183645
7,0.8504581137051053,0.013743038422748821
8,0.8554138107431706,0.00495569703806531
9,0.8563904712209961,0.0009766604778255195
10,0.8561658898601281,-0.00022458136086800362
11,0.8642977967881639,0.008131906928035781
12,0.8706190838600002,0.0063212870718363234
13,0.869964165737839,-0.0006549181221612299
14,0.9076028898601154,0.037638724122276424
15,0.9082223228628326,0.0006194330027171624
16,0.9127326914583708,0.004510368595538217
17,0.9166828047886795,0.003950113330308702
18,0.9171533307289539,0.0004705259402744133
19,0.9403315913196406,0.023178260590686728
20,0.940705520957986,0.00037392963834537163
21,0.9547452783611807,0.014039757403194741
22,0.9712972042993855,0.01655192593820476
23,0.9723895627330225,0.0010923584336369752
24,0.9728816917796571,0.0004921290466346484
25,0.9767297890002944,0.003848097220637281
26,0.9761613812529888,-0.0005684077473055993
27,0.9761206260521335,-4.0755200855335794e-05
28,0.9792872773549843,0.003166651302850876
29,0.9798395110625743,0.0005522337075899442
30,0.9810313530705519,0.001191842007977617
31,0.9808511866852957,-0.00018016638525619744
32,0.9809266247317762,7.543804648046937e-05
33,0.981400142593443,0.00047351786166682786
34,0.9829209313027789,0.0015207887093359185
35,0.9830483871931319,0.00012745589035301208
36,0.9852396323669826,0.00219124517385072
37,0.9855041360303856,0.0002645036634029152
38,0.9854812151471025,-2.292088328303965e-05
39,0.9855011812934017,1.9966146299177367e-05
40,0.9855106566039709,9.47531056916251e-06
41,0.9861587701719031,0.0006481135679322625
42,0.9858841506600612,-0.00027461951184193367
43,0.9861122432487862,0.00022809258872502625
44,0.9860488194898743,-6.342375891188468e-05
45,0.9861469023198765,9.808283000212192e-05
46,0.9862656490702073,0.00011874675033085591
47,0.9862043365695334,-6.131250067387128e-05
48,0.9863669539306534,0.0001626173611199988
49,0.9863952424364525,2.828850579905673e-05
50,0.9860812148560705,-0.0003140275803820147
51,0.9863791952960302,0.0002979804399597663
52,0.986512310015278,0.00013311471924770668
53,0.989533648379767,0.0030213383644890346
54,0.9896399559126976,0.00010630753293061623
55,0.9910016528082817,0.0013616968955840747
56,0.9912727175340522,0.0002710647257705423
57,0.9911791351988339,-9.358233521827852e-05
58,0.9911867147149092,7.579516075217896e-06
59,0.9914457562159549,0.0002590415010457203
60,0.991553499700824,0.0001077434848690828
