n_features,post_r2,delta_r2
1,0.006397640682788142,
2,0.006543510725767643,0.00014587004297950124
3,0.014155910293896845,0.007612399568129202
4,0.02607073527050785,0.011914824976611005
5,0.026126362348530496,5.562707802264644e-05
6,0.0358621748627691,0.009735812514238606
7,0.037334046850959535,0.0014718719881904319
8,0.04006959176627134,0.002735544915311805
9,0.043149527410832555,0.003079935644561216
10,0.043184301247888746,3.477383705619008e-05
11,0.05560415988592593,0.012419858638037184
12,0.05959527179025248,0.00399111190432655
13,0.06345402208149575,0.0038587502912432736
14,0.06423620102333494,0.0007821789418391845
15,0.06950403410929717,0.005267833085962237
16,0.07029519869586465,0.0007911645865674721
17,0.07233350776586778,0.0020383090700031303
18,0.0723662352281862,3.2727462318415945e-05
19,0.07493609399211154,0.002569858763925348
20,0.07493719632402096,1.1023319094194406e-06
21,0.08023352141969264,0.005296325095671683
22,0.08250897968994086,0.0022754582702482207
23,0.08304133870465469,0.0005323590147138235
24,0.08458693843021658,0.001545599725561897
25,0.09031238782383544,0.005725449393618853
26,0.09032371859721,1.1330773374562675e-05
27,0.11692060857655706,0.02659688997934706
28,0.11707275707185394,0.00015214849529687768
29,0.12193710685035541,0.0048643497785014755
30,0.12685184134136995,0.0049147344910145385
31,0.12950464827375463,0.002652806932384677
32,0.13192262559919743,0.0024179773254427994
33,0.13552042446995616,0.0035977988707587283
34,0.13568555132111726,0.00016512685116110148
35,0.18404613499121392,0.04836058367009666
36,0.18617021374916187,0.002124078757947956
37,0.18637692950654539,0.00020671575738351322
38,0.19242719795065688,0.006050268444111495
39,0.19539841092734922,0.002971212976692339
40,0.21242466843239194,0.01702625750504272
41,0.23220377044629092,0.019779102013898986
42,0.2577865619563755,0.02558279151008458
43,0.25783385354083943,4.729158446392656e-05
44,0.2638260322864273,0.005992178745587884
45,0.2719030350231224,0.008077002736695094
46,0.27470098479025984,0.002797949767137431
47,0.2772647892774136,0.0025638044871537646
48,0.27862061192690646,0.001355822649492855
49,0.2788605312425326,0.0002399193156261692
50,0.2815381687768953,0.0026776375343626757
51,0.2836029558063391,0.002064787029443793
52,0.2919654741202008,0.0083625183138617
53,0.29409903085669986,0.002133556736499065
54,0.31618431032339167,0.02208527946669181
55,0.32383072899633736,0.007646418672945687
56,0.3266029720791054,0.0027722430827680222
57,0.3305822461431752,0.003979274064069838
58,0.35141152744417214,0.020829281300996927
59,0.3524273324552979,0.0010158050111257477
60,0.36062466811488014,0.00819733565958225
