alpha,mean_cv_r2,std_cv_r2,n_folds_used
300.0,-2.6673422296465295,1.9605904206164302,3
100.0,-3.6908574163858603,3.6110909642744344,3
70.0,-4.204600724346297,4.461763635534191,3
60.0,-4.450676017778792,4.868517885777336,3
50.0,-4.756401142557389,5.371606224039024,3
40.0,-5.146130741875413,6.006866363817241,3
30.0,-5.660894947651619,6.828390949055341,3
10.0,-7.57122842111482,9.310748818728431,3
5.0,-8.85467652640518,9.86577583878779,3
4.0,-9.331749882434464,9.86519186721028,3
3.0,-10.0013831356886,9.769189639327028,3
1.0,-12.728162039483605,9.22063838649243,3
0.3,-14.642821886585542,9.235117670858743,3
0.1,-15.300726160492516,9.346095955188636,3
0.03,-15.53352008221662,9.396233037764743,3
0.01,-15.599791658524376,9.41136050309256,3
