n,delta_r2,post_r2,var,lon_tag,mode,lag
2,0.32884606958605955,0.5242515103789849,thetao,W40p0,6,1
13,0.13545699650238197,0.8332332305298471,so,W10p0,7,2
6,0.06354561140111414,0.6380950414367303,thetao,W40p0,6,2
3,0.05129768654910438,0.5755491969280893,so,W60p0,1,1
8,0.033953225611729865,0.6834952647543973,so,W10p0,1,4
34,0.03169713688764919,0.938928816033488,so,W30p0,2,0
23,0.027916941465025658,0.8930352793592843,so,W40p0,2,2
12,0.011680522243320168,0.6977762340274651,thetao,W30p0,9,1
7,0.011446997705937045,0.6495420391426674,so,W40p0,2,3
19,0.01058826293591053,0.8593021280057485,thetao,W40p0,6,0
24,0.010318592639550594,0.9033538719988349,so,W40p0,5,1
